Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.31,0.61,-4.351535060713106
75% Corpus,6,0.31,0.9099999999999999,-5.774906663346243
75% Corpus,6,0.31,symmetric,-3.2227641968933227
75% Corpus,6,0.61,0.01,-2.7808304229287946
75% Corpus,6,0.61,0.31,-3.5063217154954547
75% Corpus,6,0.61,0.61,-3.8419412886057374
75% Corpus,6,0.61,0.9099999999999999,-5.283510703690977
75% Corpus,6,0.61,symmetric,-3.0830483375780577
75% Corpus,6,0.9099999999999999,0.01,-3.1377106568599387
75% Corpus,6,0.9099999999999999,0.31,-3.252485549592002
75% Corpus,6,0.9099999999999999,0.61,-3.1782554805014827
75% Corpus,6,0.9099999999999999,0.9099999999999999,-5.0976616767705645
75% Corpus,6,0.9099999999999999,symmetric,-2.900390119887556
75% Corpus,6,symmetric,0.01,-3.1557044439508544
75% Corpus,6,symmetric,0.31,-3.548116991534325
75% Corpus,6,symmetric,0.61,-4.521045842420654
75% Corpus,6,symmetric,0.9099999999999999,-4.664328889248922
75% Corpus,6,symmetric,symmetric,-3.1265647540566106
75% Corpus,6,asymmetric,0.01,-3.011549770534906
75% Corpus,6,asymmetric,0.31,-4.228874892212495
75% Corpus,6,asymmetric,0.61,-7.496322739418733
75% Corpus,6,asymmetric,0.9099999999999999,-9.05463920637918
75% Corpus,6,asymmetric,symmetric,-3.7957838770522305
75% Corpus,7,0.01,0.01,-3.1974010354189035
75% Corpus,7,0.01,0.31,-3.896224166984301
75% Corpus,7,0.01,0.61,-5.704820443860841
75% Corpus,7,0.01,0.9099999999999999,-7.380639171039083
75% Corpus,7,0.01,symmetric,-3.4276576193514776
75% Corpus,7,0.31,0.01,-2.9177232021535886
75% Corpus,7,0.31,0.31,-3.483503685314216
75% Corpus,7,0.31,0.61,-4.765297535520001
75% Corpus,7,0.31,0.9099999999999999,-8.056531921955768
75% Corpus,7,0.31,symmetric,-3.240451348499503
75% Corpus,7,0.61,0.01,-3.2625102555878334
75% Corpus,7,0.61,0.31,-3.7079135783467896
75% Corpus,7,0.61,0.61,-4.954207965191657
75% Corpus,7,0.61,0.9099999999999999,-7.3498907399721265
75% Corpus,7,0.61,symmetric,-2.7191048314285973
75% Corpus,7,0.9099999999999999,0.01,-2.936389705501948
75% Corpus,7,0.9099999999999999,0.31,-3.0193427448714774
75% Corpus,7,0.9099999999999999,0.61,-4.118159442858432
75% Corpus,7,0.9099999999999999,0.9099999999999999,-7.0997037424921485
75% Corpus,7,0.9099999999999999,symmetric,-2.8756815109192133
75% Corpus,7,symmetric,0.01,-2.9772031291913406
75% Corpus,7,symmetric,0.31,-3.6240717162700506
75% Corpus,7,symmetric,0.61,-6.32906306262259
75% Corpus,7,symmetric,0.9099999999999999,-6.966683402144986
75% Corpus,7,symmetric,symmetric,-3.0470948679971808
75% Corpus,7,asymmetric,0.01,-3.092651866239495
75% Corpus,7,asymmetric,0.31,-4.684139395458188
75% Corpus,7,asymmetric,0.61,-8.55852863548755
75% Corpus,7,asymmetric,0.9099999999999999,-8.939412340732954
75% Corpus,7,asymmetric,symmetric,-4.78033186445468
75% Corpus,8,0.01,0.01,-3.2744807448751345
75% Corpus,8,0.01,0.31,-3.7154353055674867
75% Corpus,8,0.01,0.61,-5.863460415249521
75% Corpus,8,0.01,0.9099999999999999,-7.894701550152783
75% Corpus,8,0.01,symmetric,-2.8027632897599766
75% Corpus,8,0.31,0.01,-3.0522184334249465
75% Corpus,8,0.31,0.31,-4.263137461628797
75% Corpus,8,0.31,0.61,-5.586374428861273
75% Corpus,8,0.31,0.9099999999999999,-7.379625552678377
75% Corpus,8,0.31,symmetric,-2.9539516913352624
75% Corpus,8,0.61,0.01,-3.552969903329875
75% Corpus,8,0.61,0.31,-3.9404235423077236
75% Corpus,8,0.61,0.61,-5.534008291675217
75% Corpus,8,0.61,0.9099999999999999,-7.413308742153413
75% Corpus,8,0.61,symmetric,-2.973166632840395
75% Corpus,8,0.9099999999999999,0.01,-2.973198189330606
75% Corpus,8,0.9099999999999999,0.31,-3.405823586998968
75% Corpus,8,0.9099999999999999,0.61,-4.439428201394888
75% Corpus,8,0.9099999999999999,0.9099999999999999,-6.359037348043039
75% Corpus,8,0.9099999999999999,symmetric,-3.4100545070608703
75% Corpus,8,symmetric,0.01,-2.985654969299647
75% Corpus,8,symmetric,0.31,-4.198666379441693
75% Corpus,8,symmetric,0.61,-5.733842368701119
75% Corpus,8,symmetric,0.9099999999999999,-7.183514842169389
75% Corpus,8,symmetric,symmetric,-2.707027708216908
75% Corpus,8,asymmetric,0.01,-3.11208116505179
75% Corpus,8,asymmetric,0.31,-4.191398406810181
75% Corpus,8,asymmetric,0.61,-7.740730657905663
75% Corpus,8,asymmetric,0.9099999999999999,-9.886488453078025
75% Corpus,8,asymmetric,symmetric,-3.165232469848645
75% Corpus,9,0.01,0.01,-3.045342134918079
75% Corpus,9,0.01,0.31,-4.027002244635929
75% Corpus,9,0.01,0.61,-5.583486282922039
75% Corpus,9,0.01,0.9099999999999999,-6.860293741192575
75% Corpus,9,0.01,symmetric,-3.807492935558656
75% Corpus,9,0.31,0.01,-3.195620596221592
75% Corpus,9,0.31,0.31,-4.9133758387617945
75% Corpus,9,0.31,0.61,-4.870602836564621
75% Corpus,9,0.31,0.9099999999999999,-7.324209989348925
75% Corpus,9,0.31,symmetric,-3.6750501279077756
75% Corpus,9,0.61,0.01,-3.3802578610800205
75% Corpus,9,0.61,0.31,-4.087660552908359
75% Corpus,9,0.61,0.61,-5.321037199500127
75% Corpus,9,0.61,0.9099999999999999,-6.250951261496318
75% Corpus,9,0.61,symmetric,-3.415151550316649
75% Corpus,9,0.9099999999999999,0.01,-3.350952745083315
75% Corpus,9,0.9099999999999999,0.31,-3.347117616727133
75% Corpus,9,0.9099999999999999,0.61,-5.2357563921344905
75% Corpus,9,0.9099999999999999,0.9099999999999999,-5.660415140157369
75% Corpus,9,0.9099999999999999,symmetric,-3.3170274190300577
75% Corpus,9,symmetric,0.01,-3.153132030655441
75% Corpus,9,symmetric,0.31,-3.992980818708022
75% Corpus,9,symmetric,0.61,-5.352978588965062
75% Corpus,9,symmetric,0.9099999999999999,-6.430874832451579
75% Corpus,9,symmetric,symmetric,-3.690403943651216
75% Corpus,9,asymmetric,0.01,-3.289325337287715
75% Corpus,9,asymmetric,0.31,-5.8987434056216905
75% Corpus,9,asymmetric,0.61,-10.182907569342543
75% Corpus,9,asymmetric,0.9099999999999999,-9.665661576753191
75% Corpus,9,asymmetric,symmetric,-3.8298387936859757
75% Corpus,10,0.01,0.01,-3.0589758049108036
75% Corpus,10,0.01,0.31,-3.8777136837530923
75% Corpus,10,0.01,0.61,-6.178216652945691
75% Corpus,10,0.01,0.9099999999999999,-7.888685206726093
75% Corpus,10,0.01,symmetric,-3.6526853024979204
75% Corpus,10,0.31,0.01,-3.3592690336669575
75% Corpus,10,0.31,0.31,-4.708513114045643
75% Corpus,10,0.31,0.61,-6.92684231741427
75% Corpus,10,0.31,0.9099999999999999,-9.470471736725015
75% Corpus,10,0.31,symmetric,-3.587812066587481
75% Corpus,10,0.61,0.01,-3.0764700856258678
75% Corpus,10,0.61,0.31,-4.577412191638777
75% Corpus,10,0.61,0.61,-6.669113671789314
75% Corpus,10,0.61,0.9099999999999999,-8.19851226928859
75% Corpus,10,0.61,symmetric,-3.6924277651440507
75% Corpus,10,0.9099999999999999,0.01,-3.2046893926584494
75% Corpus,10,0.9099999999999999,0.31,-3.8748632023346943
75% Corpus,10,0.9099999999999999,0.61,-5.174232232328835
75% Corpus,10,0.9099999999999999,0.9099999999999999,-6.443337932390098
75% Corpus,10,0.9099999999999999,symmetric,-3.094668042499265
75% Corpus,10,symmetric,0.01,-3.3556862143483754
75% Corpus,10,symmetric,0.31,-4.779440025486937
75% Corpus,10,symmetric,0.61,-6.552660153192972
75% Corpus,10,symmetric,0.9099999999999999,-7.60139159038137
75% Corpus,10,symmetric,symmetric,-3.908735126119835
75% Corpus,10,asymmetric,0.01,-3.458682460814166
75% Corpus,10,asymmetric,0.31,-4.625201588324886
75% Corpus,10,asymmetric,0.61,-9.879439963806016
75% Corpus,10,asymmetric,0.9099999999999999,-10.84479806465405
75% Corpus,10,asymmetric,symmetric,-3.7153538151980072
100% Corpus,2,0.01,0.01,-2.109475158316495
100% Corpus,2,0.01,0.31,-2.007956656321073
100% Corpus,2,0.01,0.61,-2.008403643114765
100% Corpus,2,0.01,0.9099999999999999,-2.0276457971698747
100% Corpus,2,0.01,symmetric,-2.0245218779942924
100% Corpus,2,0.31,0.01,-1.9948907309812474
100% Corpus,2,0.31,0.31,-2.036151777208378
100% Corpus,2,0.31,0.61,-2.0037891738332574
100% Corpus,2,0.31,0.9099999999999999,-2.017302182146303
100% Corpus,2,0.31,symmetric,-2.0307780876056545
100% Corpus,2,0.61,0.01,-2.9070111940305265
100% Corpus,2,0.61,0.31,-2.0628347251793095
100% Corpus,2,0.61,0.61,-2.0388570066594003
100% Corpus,2,0.61,0.9099999999999999,-3.0221044952371865
100% Corpus,2,0.61,symmetric,-2.0732900009418715
100% Corpus,2,0.9099999999999999,0.01,-2.056443859862875
100% Corpus,2,0.9099999999999999,0.31,-2.0534303564947436
100% Corpus,2,0.9099999999999999,0.61,-2.0375404489895095
100% Corpus,2,0.9099999999999999,0.9099999999999999,-2.891350663341564
100% Corpus,2,0.9099999999999999,symmetric,-2.0337890683407887
100% Corpus,2,symmetric,0.01,-2.878576938625112
100% Corpus,2,symmetric,0.31,-2.038325258421965
100% Corpus,2,symmetric,0.61,-2.8174500827072766
100% Corpus,2,symmetric,0.9099999999999999,-3.004144553196534
100% Corpus,2,symmetric,symmetric,-2.1343280710017924
100% Corpus,2,asymmetric,0.01,-2.0001729039630964
100% Corpus,2,asymmetric,0.31,-2.12760876207699
100% Corpus,2,asymmetric,0.61,-2.05988464200077
100% Corpus,2,asymmetric,0.9099999999999999,-2.1318740149906175
100% Corpus,2,asymmetric,symmetric,-2.1089443903933898
100% Corpus,3,0.01,0.01,-2.6914416490385644
100% Corpus,3,0.01,0.31,-2.6728708522060605
100% Corpus,3,0.01,0.61,-2.7770617865911116
100% Corpus,3,0.01,0.9099999999999999,-2.8362910002084223
100% Corpus,3,0.01,symmetric,-2.6673202487284153
100% Corpus,3,0.31,0.01,-2.6810302950209532
100% Corpus,3,0.31,0.31,-2.695424799634194
100% Corpus,3,0.31,0.61,-2.595470422052557
100% Corpus,3,0.31,0.9099999999999999,-2.161345436496642
100% Corpus,3,0.31,symmetric,-2.640875600469727
100% Corpus,3,0.61,0.01,-2.7688853978219328
100% Corpus,3,0.61,0.31,-2.685422287645521
100% Corpus,3,0.61,0.61,-2.738202392274603
100% Corpus,3,0.61,0.9099999999999999,-2.8308813595686666
100% Corpus,3,0.61,symmetric,-2.702293712728539
100% Corpus,3,0.9099999999999999,0.01,-2.6919604812849127
100% Corpus,3,0.9099999999999999,0.31,-2.7735499420128673
100% Corpus,3,0.9099999999999999,0.61,-2.691678687656154
100% Corpus,3,0.9099999999999999,0.9099999999999999,-2.7172258804644946
100% Corpus,3,0.9099999999999999,symmetric,-2.7448063858317098
100% Corpus,3,symmetric,0.01,-2.7391830375751742
100% Corpus,3,symmetric,0.31,-2.6563353189965753
100% Corpus,3,symmetric,0.61,-2.13151995636867
100% Corpus,3,symmetric,0.9099999999999999,-2.411341487087538
100% Corpus,3,symmetric,symmetric,-2.5266141772028323
100% Corpus,3,asymmetric,0.01,-2.9444138836254155
100% Corpus,3,asymmetric,0.31,-2.1276551060902293
100% Corpus,3,asymmetric,0.61,-3.3756050012883296
100% Corpus,3,asymmetric,0.9099999999999999,-4.5683107680329496
100% Corpus,3,asymmetric,symmetric,-2.646322618400244
100% Corpus,4,0.01,0.01,-2.9100114559517314
100% Corpus,4,0.01,0.31,-2.6321790148591617
100% Corpus,4,0.01,0.61,-4.2144133883076575
100% Corpus,4,0.01,0.9099999999999999,-5.216032403239665
100% Corpus,4,0.01,symmetric,-2.9154590912765905
100% Corpus,4,0.31,0.01,-2.863956005749434
100% Corpus,4,0.31,0.31,-2.7377234405798356
100% Corpus,4,0.31,0.61,-2.9118296757129754
100% Corpus,4,0.31,0.9099999999999999,-3.978257896098377
100% Corpus,4,0.31,symmetric,-2.7800460725620786
100% Corpus,4,0.61,0.01,-2.8740377012137355
100% Corpus,4,0.61,0.31,-2.93159160114159
100% Corpus,4,0.61,0.61,-3.007222702741099
100% Corpus,4,0.61,0.9099999999999999,-2.9518611572226607
100% Corpus,4,0.61,symmetric,-2.8503810693711236
100% Corpus,4,0.9099999999999999,0.01,-2.8122859767385324
100% Corpus,4,0.9099999999999999,0.31,-2.8188499459580534
100% Corpus,4,0.9099999999999999,0.61,-2.8036714408922023
100% Corpus,4,0.9099999999999999,0.9099999999999999,-3.152370719108281
100% Corpus,4,0.9099999999999999,symmetric,-2.9772740145904915
100% Corpus,4,symmetric,0.01,-2.6238904601999202
100% Corpus,4,symmetric,0.31,-2.8126726795674335
100% Corpus,4,symmetric,0.61,-3.357760114424301
100% Corpus,4,symmetric,0.9099999999999999,-4.212903761357498
100% Corpus,4,symmetric,symmetric,-2.8251782131401093
100% Corpus,4,asymmetric,0.01,-2.6324904203419535
100% Corpus,4,asymmetric,0.31,-2.8268370628717854
100% Corpus,4,asymmetric,0.61,-4.055498969462245
100% Corpus,4,asymmetric,0.9099999999999999,-6.653693821328444
100% Corpus,4,asymmetric,symmetric,-2.686383450491606
100% Corpus,5,0.01,0.01,-2.5303202907190254
100% Corpus,5,0.01,0.31,-2.60394070212239
100% Corpus,5,0.01,0.61,-2.915836791188572
100% Corpus,5,0.01,0.9099999999999999,-5.3331617168797365
100% Corpus,5,0.01,symmetric,-2.64061851442139
100% Corpus,5,0.31,0.01,-2.915441515582272
100% Corpus,5,0.31,0.31,-2.6473159545571847
100% Corpus,5,0.31,0.61,-3.4703061916773406
100% Corpus,5,0.31,0.9099999999999999,-5.0632100184405235
100% Corpus,5,0.31,symmetric,-2.5785233587988365
100% Corpus,5,0.61,0.01,-2.9792469896601106
100% Corpus,5,0.61,0.31,-3.0264711428873
100% Corpus,5,0.61,0.61,-3.216241126326706
100% Corpus,5,0.61,0.9099999999999999,-3.3686496734446827
100% Corpus,5,0.61,symmetric,-2.7892140020788596
100% Corpus,5,0.9099999999999999,0.01,-2.8280984710406316
100% Corpus,5,0.9099999999999999,0.31,-2.797761540346382
100% Corpus,5,0.9099999999999999,0.61,-3.2275027775812974
100% Corpus,5,0.9099999999999999,0.9099999999999999,-4.029037655447264
100% Corpus,5,0.9099999999999999,symmetric,-2.7885818348697144
100% Corpus,5,symmetric,0.01,-2.692300622315732
100% Corpus,5,symmetric,0.31,-2.7107601328113584
100% Corpus,5,symmetric,0.61,-2.7954173150718353
100% Corpus,5,symmetric,0.9099999999999999,-5.590161080112418
100% Corpus,5,symmetric,symmetric,-2.5670286850588395
100% Corpus,5,asymmetric,0.01,-2.93609241490545
100% Corpus,5,asymmetric,0.31,-3.766335091854233
100% Corpus,5,asymmetric,0.61,-5.600213279768117
100% Corpus,5,asymmetric,0.9099999999999999,-7.914964718256199
100% Corpus,5,asymmetric,symmetric,-2.8221801814655434
100% Corpus,6,0.01,0.01,-3.1885358107147064
100% Corpus,6,0.01,0.31,-3.2377811156696326
100% Corpus,6,0.01,0.61,-4.890456522125564
100% Corpus,6,0.01,0.9099999999999999,-6.93271961530812
100% Corpus,6,0.01,symmetric,-3.3510733399366455
100% Corpus,6,0.31,0.01,-3.0176837378203154
100% Corpus,6,0.31,0.31,-3.202933143338465
100% Corpus,6,0.31,0.61,-5.035907058645415
100% Corpus,6,0.31,0.9099999999999999,-8.733325715832253
100% Corpus,6,0.31,symmetric,-3.4310069904499443
100% Corpus,6,0.61,0.01,-2.7218538194379462
100% Corpus,6,0.61,0.31,-3.0109751390926234
100% Corpus,6,0.61,0.61,-3.8084289013192034
100% Corpus,6,0.61,0.9099999999999999,-5.337291631998742
100% Corpus,6,0.61,symmetric,-2.8295387061873125
100% Corpus,6,0.9099999999999999,0.01,-2.737837674209496
100% Corpus,6,0.9099999999999999,0.31,-2.818652227674581
100% Corpus,6,0.9099999999999999,0.61,-3.315356950043629
100% Corpus,6,0.9099999999999999,0.9099999999999999,-3.893851921222326
100% Corpus,6,0.9099999999999999,symmetric,-2.7152346444772557
100% Corpus,6,symmetric,0.01,-3.359083538955641
100% Corpus,6,symmetric,0.31,-3.479304263354519
100% Corpus,6,symmetric,0.61,-5.304299027732818
100% Corpus,6,symmetric,0.9099999999999999,-7.187218578060978
100% Corpus,6,symmetric,symmetric,-2.941476225980295
100% Corpus,6,asymmetric,0.01,-3.239826272035611
100% Corpus,6,asymmetric,0.31,-5.515244926700883
100% Corpus,6,asymmetric,0.61,-6.423359084762008
100% Corpus,6,asymmetric,0.9099999999999999,-9.276647203066199
100% Corpus,6,asymmetric,symmetric,-5.2719501715074655
100% Corpus,7,0.01,0.01,-3.1873270666566493
100% Corpus,7,0.01,0.31,-4.59461276158112
100% Corpus,7,0.01,0.61,-6.939226895530405
100% Corpus,7,0.01,0.9099999999999999,-9.260550040571513
100% Corpus,7,0.01,symmetric,-3.6074663929872863
100% Corpus,7,0.31,0.01,-2.9111052320122752
100% Corpus,7,0.31,0.31,-3.5479986925727323
100% Corpus,7,0.31,0.61,-5.335281885218314
100% Corpus,7,0.31,0.9099999999999999,-8.258737883423299
100% Corpus,7,0.31,symmetric,-3.102547394120125
100% Corpus,7,0.61,0.01,-2.745079945010024
100% Corpus,7,0.61,0.31,-2.8858270928715513
100% Corpus,7,0.61,0.61,-5.194767419184873
100% Corpus,7,0.61,0.9099999999999999,-8.199259001344542
100% Corpus,7,0.61,symmetric,-2.6858338818581244
100% Corpus,7,0.9099999999999999,0.01,-2.686901332196398
100% Corpus,7,0.9099999999999999,0.31,-2.9428009768557586
100% Corpus,7,0.9099999999999999,0.61,-3.538102469017871
100% Corpus,7,0.9099999999999999,0.9099999999999999,-6.177351135350575
100% Corpus,7,0.9099999999999999,symmetric,-2.6994056397237385
100% Corpus,7,symmetric,0.01,-3.0106782360333466
100% Corpus,7,symmetric,0.31,-3.7124997480428283
100% Corpus,7,symmetric,0.61,-4.735240279011466
100% Corpus,7,symmetric,0.9099999999999999,-8.023321543144663
100% Corpus,7,symmetric,symmetric,-3.0970841265367666
100% Corpus,7,asymmetric,0.01,-2.826784050168184
100% Corpus,7,asymmetric,0.31,-4.948560484533074
100% Corpus,7,asymmetric,0.61,-7.764090119168911
100% Corpus,7,asymmetric,0.9099999999999999,-9.628574772638467
100% Corpus,7,asymmetric,symmetric,-4.6793637489644855
100% Corpus,8,0.01,0.01,-2.6215936826783865
100% Corpus,8,0.01,0.31,-3.36146203407343
100% Corpus,8,0.01,0.61,-7.147520089877661
100% Corpus,8,0.01,0.9099999999999999,-9.62952930866776
100% Corpus,8,0.01,symmetric,-2.8186196356383144
100% Corpus,8,0.31,0.01,-2.5940574595067876
100% Corpus,8,0.31,0.31,-4.495138720056206
100% Corpus,8,0.31,0.61,-5.464958996179083
100% Corpus,8,0.31,0.9099999999999999,-9.524232435130301
100% Corpus,8,0.31,symmetric,-2.9481790017049714
100% Corpus,8,0.61,0.01,-2.784494461601221
100% Corpus,8,0.61,0.31,-3.460819869148448
100% Corpus,8,0.61,0.61,-5.563507126153996
100% Corpus,8,0.61,0.9099999999999999,-8.146163796989462
100% Corpus,8,0.61,symmetric,-3.024805908796867
100% Corpus,8,0.9099999999999999,0.01,-2.7974042789321176
100% Corpus,8,0.9099999999999999,0.31,-2.8498040758000878
100% Corpus,8,0.9099999999999999,0.61,-4.213353366213224
100% Corpus,8,0.9099999999999999,0.9099999999999999,-7.187412837085008
100% Corpus,8,0.9099999999999999,symmetric,-2.7092192560928794
100% Corpus,8,symmetric,0.01,-2.714125727448605
100% Corpus,8,symmetric,0.31,-3.7106790737601507
100% Corpus,8,symmetric,0.61,-6.603102032340573
100% Corpus,8,symmetric,0.9099999999999999,-8.70613156172077
100% Corpus,8,symmetric,symmetric,-3.3173454876186366
100% Corpus,8,asymmetric,0.01,-2.9302911770560867
100% Corpus,8,asymmetric,0.31,-5.696337339294039
100% Corpus,8,asymmetric,0.61,-7.899702023982532
100% Corpus,8,asymmetric,0.9099999999999999,-8.963485410564068
100% Corpus,8,asymmetric,symmetric,-3.504794138198423
