formatted_address,name,rating,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,big_list_name,adelaide?,south_australia?,sa?,australia?
"85 Broad St, New York, NY 10004, United States",Cureatr,0.0,40.7040662,-74.01114559999999,40.70554667989272,-74.00993947010727,40.70284702010727,-74.01263912989272,False,cureator,-1,-1,-1,-1
"Stone & Chalk, Allied Health Building, Lot Fourteen, Adelaide SA 5000, Australia",Splose,5.0,-34.9206396,138.6083989,-34.91947222010728,138.6095652298927,-34.92217187989272,138.6068655701073,True,splose,53,-1,62,71
"112A Rundle Mall Adelaide, 5A SA 5000, Australia",Cibo Espresso,4.1,-34.9226833,138.6036036,-34.92133572010728,138.6049678798927,-34.92403537989273,138.6022682201073,True,cibo espresso co,17,-1,30,39
"Exchange Centre, 105/20 Bridge St, Sydney NSW 2000, Australia",ASX,3.7,-33.8633963,151.2088201,-33.86213042010728,151.2100730798927,-33.86483007989273,151.2073734201072,True,asx,-1,-1,-1,52
"5704 Balsam St #301, Vancouver, BC V6M 4B9, Canada",Connect Hearing,4.3,49.2343722,-123.161058,49.23576922989272,-123.1598592201073,49.23306957010728,-123.1625588798928,True,connect hearing,-1,-1,8,-1
"32 Murdoch Cct, Acacia Ridge QLD 4110, Australia",Flavour Creations,4.6,-27.591092,153.034056,-27.58989762010728,153.0356114298927,-27.59259727989273,153.0329117701073,True,flavour creations,-1,-1,-1,39
"410 Queen St, Brisbane City QLD 4000, Australia",Comet Ridge Limited,0.0,-27.465639,153.0299338,-27.46438032010728,153.0313923298927,-27.46707997989272,153.0286926701073,True,comet ridge,-1,-1,-1,38
"32 Murdoch Cct, Acacia Ridge QLD 4110, Australia",Flavour Creations,4.6,-27.591092,153.034056,-27.58989762010728,153.0356114298927,-27.59259727989273,153.0329117701073,True,anteo diagnostics flavour creations,-1,-1,-1,39
"Suite 19, Level 2/50 Glebe Rd, The Junction NSW 2291, Australia",BetMakers,0.0,-32.9384582,151.7609517,-32.93720852010728,151.7621360798927,-32.93990817989272,151.7594364201073,True,betmakers,-1,-1,-1,54
"Lambton Rd, Broadmeadow NSW 2292, Australia",Bet Makers,2.3,-32.9241842,151.7350555,-32.92289857010728,151.7364127798927,-32.92559822989272,151.7337131201073,,betmakers,-1,-1,-1,34
"9750 Greenwood Ave N, Seattle, WA 98103, United States",Greater Seattle Soccer League,5.0,47.7010719,-122.355212,47.70243817989272,-122.3539638701073,47.69973852010727,-122.3566635298927,True,a league men,-1,-1,-1,-1
"14701 Aurora Ave N, Shoreline, WA 98133, United States",Phoenix Club,4.0,47.7352194,-122.3457554,47.73653962989272,-122.3443285701073,47.73383997010727,-122.3470282298927,,phoenix,-1,-1,-1,-1
"901 12th Ave, Seattle, WA 98122, United States",Institute Of Public Service,0.0,47.6093666,-122.3179613,47.61071087989272,-122.3160313201073,47.60801122010728,-122.3187309798927,,the institute of public affairs,-1,-1,-1,-1
"4501 Lytle St, Pittsburgh, PA 15207, United States",Hazelwood Green,4.1,40.4161005,-79.9488035,40.41741387989273,-79.94756492010727,40.41471422010729,-79.95026457989272,,hazelwood westinghouse,-1,-1,-1,-1
"1110 3rd Ave, Seattle, WA 98101, United States",Federal Bureau of Investigation,4.3,47.60668099999999,-122.3345249,47.60796402989271,-122.3333424201073,47.60526437010727,-122.3360420798928,True,fbi,-1,-1,-1,-1
"9109 NE Cascades Pkwy, Portland, OR 97220, United States",Federal Bureau of Investigation,4.2,45.5779545,-122.569812,45.57907957989271,-122.5683279201073,45.57637992010727,-122.5710275798927,True,fbi,-1,-1,-1,-1
"Lot Fourteen, Eleanor Harrald Building, Frome Rd, Adelaide SA 5000, Australia",The Circle - First Nations Entrepreneur Hub,0.0,-34.9201415,138.6075834,-34.91881737010728,138.6088476798927,-34.92151702989272,138.6061480201072,,the circle first nations entrepreneur hub,50,-1,59,68
