tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2165811967/38C549A391024716PQ/1025?accountid=14649,Making welfare system work better for all of us,"Jan 11, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2165812025/38C549A391024716PQ/1026?accountid=14649,Making welfare system work better for all of us,"Jan 11, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2165676265/38C549A391024716PQ/1027?accountid=14649,Making welfare system work better for all of us,"Jan 11, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2187573421/38C549A391024716PQ/1028?accountid=14649,Putin the pressure on our elections,"Mar 1, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2405426250/38C549A391024716PQ/1029?accountid=14649,Grumpy about so many old men,"May 23, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2388044410/38C549A391024716PQ/1030?accountid=14649,STAYING IN,"Apr 11, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2301123520/38C549A391024716PQ/1031?accountid=14649,Looking for love online,"Oct 7, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2283209675/38C549A391024716PQ/1032?accountid=14649,Are home health tests worth your money?,"Sep 1, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2332089839/38C549A391024716PQ/1033?accountid=14649,Balancing the books,"Jan 4, 2020",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2193185739/38C549A391024716PQ/1034?accountid=14649,THE FUTURE OF HAIR,"Mar 17, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2282416567/38C549A391024716PQ/1035?accountid=14649,Go with your gut feeling,"Aug 17, 2019",Nationwide News Pty Ltd,Newspaper,['Health care industry']
artificial intelligence,https://www.proquest.com/anznews/docview/2238637142/38C549A391024716PQ/1036?accountid=14649,A FUTURE THAT SADLY FADES FAST,"Jun 13, 2019",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2389112053/38C549A391024716PQ/1037?accountid=14649,Virtual reality's crucial role in ag studies,"Apr 9, 2020",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2238150847/38C549A391024716PQ/1038?accountid=14649,Join knitting for love,"Jun 12, 2019",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2280028749/38C549A391024716PQ/1039?accountid=14649,New digital hub to improve home care,"Aug 27, 2019",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2388597500/38C549A391024716PQ/1040?accountid=14649,Time to dig out all your Digger pictures,"Apr 12, 2020",Nationwide News Pty Ltd,Newspaper,
