formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"South Australia, Australia",south australia,-30.0002315,136.2091547,-25.9963765,141.0029556,-38.0626031,129.00134,,,-1,0,6,-1,vogue australia
"700 Collins St, Docklands VIC 3008, Australia",bureau of meteorology,-37.819624,144.9509451,-37.81828212010728,144.9519898798927,-37.82098177989272,144.9492902201073,2.9,True,-1,-1,36,-1,bureau of meteorology
"Adelaide SA 5005, Australia",the university of adelaide,-34.920603,138.6062277,-34.91538245,138.60942985,-34.92313385,138.59892605,4.5,,0,-1,18,9,the university of adelaide
"8222 118th Ave N STE 600, Largo, FL 33773, United States","smartsat, inc.",27.878259,-82.75350999999999,27.87980597989272,-82.75183267010728,27.87710632010728,-82.75453232989271,0.0,False,-1,-1,-1,-1,smartsat crc
"9805 NE 116th St #7134, Kirkland, WA 98034, United States",northwest representative,47.7038405,-122.2100355,47.70519672989272,-122.2086621701073,47.70249707010728,-122.2113618298927,0.0,,-1,-1,-1,-1,the house of representatives
"Adelaide, SA, Australia",adelaide,-34.92367160000001,138.6038129,-34.8987746,138.6242166,-34.9419635,138.5772193,,,0,-1,14,10,adelaide
"5 Pirie St, Adelaide SA 5000, Australia",adelaide economic development agency,-34.9258329,138.6002013,-34.92443702010727,138.6015469298927,-34.92713667989272,138.5988472701073,0.0,,12,-1,30,21,the adelaide economic development agency
"Level 4/11 York St, Sydney NSW 2000, Australia",stone & chalk sydney startup hub,-33.8652521,151.2051521,-33.86409712010727,151.2067757298927,-33.86679677989272,151.2040760701073,4.6,True,-1,-1,37,-1,stone chalk group
"12670 120th Ave NE STE 162, Kirkland, WA 98034, United States",sephora,47.7131813,-122.1800072,47.71447002989272,-122.1787925701073,47.71177037010727,-122.1814922298927,4.6,True,-1,-1,-1,-1,sephora
"Lot Fourteen, Eleanor Harrald Building, Frome Rd, Adelaide SA 5000, Australia",the circle first nations entrepreneurs,-34.9201415,138.6075834,-34.91881737010728,138.6088476798927,-34.92151702989272,138.6061480201072,0.0,,50,-1,68,59,the circle first nations entrepreneur hub
"Corner Frome Road and, North Terrace, Adelaide SA 5000, Australia",australian institute for machine learning (aiml),-34.9208823,138.6080315,-34.91961122010728,138.6093663798927,-34.92231087989272,138.6066667201073,5.0,True,38,-1,56,47,the australian institute for machine learning aiml
"Port Rd, Adelaide SA 5000, Australia",royal adelaide hospital,-34.9209375,138.5871711,-34.91977007010728,138.5885147798927,-34.92246972989273,138.5858151201073,3.5,True,9,-1,27,18,the royal adelaide hospital
"1615 Delaware St, Longview, WA 98632, United States",peacehealth st. john medical center,46.1299827,-122.9416717,46.13105292989272,-122.9403947701073,46.12835327010728,-122.9430944298927,2.2,True,-1,-1,-1,-1,bachelor of advanced health and medical science
"Level 11/257 Collins St, Melbourne VIC 3000, Australia",australian psychological society (aps),-37.8161266,144.9655719,-37.81464442010728,144.9668593798927,-37.81734407989272,144.9641597201072,2.4,True,-1,-1,45,-1,the australian psychological society
"34 Cunningham St, Tweed Heads South NSW 2486, Australia",momentum collective - the connections centre,-28.1936175,153.5385194,-28.19236782010728,153.5398508298927,-28.19506747989272,153.5371511701073,4.2,True,-1,-1,46,-1,the tweed heads momentum collective connections centre
"15 Hickson Rd, Dawes Point NSW 2000, Australia",sydney theatre company,-33.8547363,151.2057037,-33.8540039,151.2073833798927,-33.8569335,151.2046837201073,4.6,True,-1,-1,37,-1,sydney theatre company
"805 Hennepin Ave, Minneapolis, MN 55402, United States",state theatre,44.97686150000001,-93.2760921,44.97823912989272,-93.27482252010728,44.97553947010728,-93.27752217989271,4.6,False,-1,-1,-1,-1,state theatre
"42 W Warren Ave, Detroit, MI 48202, United States",wayne state university,42.3591388,-83.06654619999999,42.36931499999999,-83.04745325,42.341561,-83.08174664999999,4.3,,-1,-1,-1,-1,wayne state university
"3180 262 St Unit 1, Aldergrove, BC V4W 2Z6, Canada",ocean ceramics,49.0597514,-122.4978611,49.06121132989271,-122.4966621701073,49.05851167010727,-122.4993618298927,5.0,True,-1,-1,-1,-1,general atomics
"94 Mallett St, Camperdown NSW 2050, Australia",the australian institute of policy and science,-33.888457,151.1775129,-33.88721792010727,151.1787498298927,-33.88991757989271,151.1760501701073,0.0,,-1,-1,36,-1,the australian institute of policy and science
"146 Burren St, Newtown NSW 2042, Australia",australian institute of policy & science,-33.8958734,151.1847936,-33.89450772010728,151.1861857798927,-33.89720737989273,151.1834861201073,0.0,,-1,-1,33,-1,the australian institute of policy and science
"74 Wall St, Seattle, WA 98121, United States",the nature conservancy in washington,47.6139153,-122.34991,47.61523887989272,-122.3485152701073,47.61253922010727,-122.3512149298927,5.0,True,-1,-1,-1,-1,the nature conservancy
"89 Strangways Terrace, North Adelaide SA 5006, Australia",adelaide oncology & haematology,-34.9102284,138.5887763,-34.90885802010728,138.5901963798927,-34.91155767989272,138.5874967201073,3.5,True,29,-1,47,38,adelaide company
"1111 E Columbia St #107, Seattle, WA 98122, United States",seattle university health center,47.6087176,-122.3173699,47.61032467989271,-122.3160030201073,47.60762502010727,-122.3187026798928,3.0,,-1,-1,-1,-1,seattle university
"33844 King Rd, Abbotsford, BC V2S 7M7, Canada",university of the fraser valley,49.0313016,-122.2858506,49.03268997989272,-122.2845026701073,49.02999032010728,-122.2872023298927,4.3,,-1,-1,-1,-1,the university of the rd age
"Camperdown NSW 2006, Australia",the university of sydney,-33.8885748,151.1873494,-33.88100765,151.19805075,-33.89614545000001,151.18005295,4.4,True,-1,-1,21,-1,the university of sydney
"University Rd, Southampton SO17 1BJ, United Kingdom",university of southampton highfield campus,50.935742,-1.3966381,50.94045205,-1.394713520107278,50.93055784999999,-1.397413179892722,4.4,,-1,-1,-1,-1,the university of southampton
"Communications Building 50 University of Washington #353765, Seattle, WA 98195, United States",university of washington college of arts & sciences,47.6569023,-122.3055592,47.65825212989273,-122.3042093701073,47.65555247010729,-122.3069090298927,5.0,True,-1,-1,-1,-1,the university of the chinese academy of sciences
"200 Central Park West, New York, NY 10024, United States",american museum of natural history,40.7813241,-73.9739882,40.78294769999999,-73.97198497010729,40.7799797,-73.97468462989272,4.6,False,-1,-1,-1,-1,american museum of natural history
"North Terrace, Adelaide SA 5005, Australia",australian centre for ancient dna (acad),-34.9192578,138.6036982,-34.91794127010728,138.6050286798927,-34.92064092989273,138.6023290201073,5.0,,15,-1,33,24,the australian centre for ancient dna
"Informatics Forum, 10 Crichton St, Newington, Edinburgh EH8 9AB, United Kingdom",school of informatics,55.9447872,-3.1872828,55.94602632989272,-3.185895270107278,55.94332667010728,-3.188594929892723,4.6,True,-1,-1,-1,-1,the school of infantry
"St Bernards Rd, Magill SA 5072, Australia",university of south australia magill campus,-34.9101302,138.6742493,-34.90706765000001,138.6779501,-34.91356865,138.6697605,4.7,True,-1,-1,32,23,the university of south australia whyalla campus
"Gulf Standard Investment Company, 4343 Fatimah Al Zahraa, Jarir, 7234, Riyadh 12837, Saudi Arabia",upgro digital,24.6717301,46.7495501,24.67312712989272,46.75096397989272,24.67042747010728,46.74826432010727,5.0,False,-1,-1,-1,85,lumos digital
"Flinders University, Information Science and Technology Building, 326 Sturt Rd, Bedford Park SA 5042, Australia",national centre for groundwater research and training,-35.0288147,138.5726697,-35.02774492010727,138.5739796298927,-35.03044457989272,138.5712799701073,0.0,,-1,-1,102,93,the national centre for groundwater research and training
"901 12th Ave, Seattle, WA 98122, United States",seattle university: college of science & engineering,47.60977399999999,-122.3174966,47.61112097989272,-122.3157949701072,47.60842132010728,-122.3184946298927,3.0,True,-1,-1,-1,-1,flinders university s college of science and engineering
"515 116th Ave NE Ste. 235, Bellevue, WA 98004, United States",sunrise for children,47.61465430000001,-122.187606,47.61600932989272,-122.1860373701073,47.61330967010728,-122.1887370298927,0.0,,-1,-1,-1,-1,institute for choice
"8201 Lake City Way NE, Seattle, WA 98115, United States",west coast swing at the eagles,47.68878249999999,-122.3106317,47.69012487989271,-122.3093100701073,47.68742522010727,-122.3120097298927,0.0,,-1,-1,-1,-1,west coast eagles
"3751 W Stevens Way NE, Seattle, WA 98195, United States",university of washington center for child & family well-being,47.6527234,-122.3105378,47.65412162989272,-122.3090518201073,47.65142197010728,-122.3117514798927,0.0,,-1,-1,-1,-1,the university of south florida health
"546 Portrush Rd, Glen Osmond SA 5064, Australia",seymour college,-34.956452,138.6479115,-34.95380934999999,138.65353995,-34.95829875000001,138.64048055,4.0,True,-1,-1,38,29,seymour college
"Museum of Contemporary Art Australia, Level 4/140 George St, Sydney NSW 2000, Australia",new south wales olympic council,-33.859668,151.208917,-33.85812247010728,151.2105555298927,-33.86082212989272,151.2078558701072,0.0,True,-1,-1,27,-1,the whyalla council
"30 Hawkers Rd, Medindie SA 5081, Australia",wilderness school,-34.8981229,138.6081176,-34.89674427010728,138.6094007798928,-34.89944392989273,138.6067011201073,4.2,True,-1,-1,33,24,wilderness school
"Level 5, Suite 503/425 Burwood Hwy, Wantirna South VIC 3152, Australia",the three seas psychology group - wantirna,-37.8687349,145.2407676,-37.86778587010728,145.2419012298927,-37.87048552989272,145.2392015701073,5.0,True,-1,-1,61,-1,the three seas group
"96 Murray St, Wagga Wagga NSW 2650, Australia",riverina community college,-35.1130638,147.3605941,-35.11171842010728,147.3620170298927,-35.11441807989272,147.3593173701073,5.0,True,-1,-1,36,-1,phoenix p community college
"H Block, Gorman Arts Centre, Batman St, Braddon ACT 2612, Australia",canberra youth theatre,-35.2776708,149.1373826,-35.27621352010728,149.1386708298927,-35.27891317989272,149.1359711701072,4.7,True,-1,-1,58,-1,the canberra youth theatre
"60 Tribune St, South Brisbane QLD 4101, Australia",tafe queensland south bank campus,-27.4805462,153.0209205,-27.47891997010728,153.0220044298927,-27.48161962989272,153.0193047701073,3.6,True,-1,-1,40,-1,tafe queensland dmtc
"Parkville VIC 3010, Australia",university of melbourne,-37.7983459,144.960974,-37.78689335000001,144.96957355,-37.80708795,144.95381495,4.4,,-1,-1,20,-1,university of melbourne
"31 Park Rd, Marrickville NSW 2204, Australia",yunion taiko percussion,-33.9014982,151.1558005,-33.90031417010729,151.1574544798927,-33.90301382989273,151.1547548201073,0.0,True,-1,-1,35,-1,national mental health commissioner
"200 Victoria Square, Adelaide SA 5000, Australia",playford memorial trust,-34.9275819,138.6010335,-34.92625802010728,138.6022180798927,-34.92895767989273,138.5995184201073,0.0,True,21,-1,39,30,playford trust
"SpaceLab Building, Lot Fourteen, Level, 4 Frome Rd, Adelaide SA 5000, Australia",inovor technologies,-34.91784490000001,138.6078019,-34.91667747010728,138.6093860298927,-34.91937712989272,138.6066863701073,5.0,True,52,-1,70,61,inovor technologies
"1521 NW 50th St, Seattle, WA 98107, United States",dirt exchange,47.6647544,-122.377403,47.66625797989272,-122.3760396701073,47.66355832010727,-122.3787393298928,4.6,True,-1,-1,-1,-1,climate change
"2 McKenzie St, Wonthaggi VIC 3995, Australia",wonthaggi secondary college (senior campus),-38.610986,145.5988042,-38.60920767010727,145.60046515,-38.61190732989272,145.59655375,5.0,,-1,-1,35,-1,whyalla secondary college
"533 N 169th St, Shoreline, WA 98133, United States",smoke-stock wam,47.751746,-122.3525274,47.75313932989272,-122.3510889701073,47.75043967010728,-122.3537886298927,0.0,,-1,-1,-1,-1,monkeystack
"Sydney NSW 2052, Australia",unsw sydney,-33.917347,151.2312675,-33.9127803,151.2411959,-33.92234029999999,151.2211839,4.3,,-1,-1,17,-1,unsw s
"Los Angeles, CA 90007, United States",university of southern california,34.0223519,-118.285117,34.02818580000001,-118.2759616,34.0151942,-118.2965244,4.6,,-1,-1,-1,-1,the university of southern california
"14-16 Hakkinen Rd, Wingfield SA 5013, Australia",s&w seed company australia,-34.8420078,138.5608414,-34.84065822010727,138.5621965298927,-34.84335787989271,138.5594968701073,5.0,True,-1,-1,38,29,seed australia s
"St Lucia QLD 4072, Australia",the university of queensland,-27.4975028,153.0136905,-27.48699719999999,153.0174471,-27.50821400000001,153.0024207,4.5,True,-1,-1,19,-1,the university of queensland
"488 Freestone Point Rd, Triabunna TAS 7190, Australia",sea forest limited,-42.5368775,147.9313214,-42.53545782010728,147.9328119298928,-42.53815747989272,147.9301122701073,0.0,True,-1,-1,44,-1,sea forest
"233 Broadway # 2705, New York, NY 10279, United States",wateraid america,40.7124491,-74.0082925,40.71366592989272,-74.00704952010727,40.71096627010727,-74.00974917989272,4.9,False,-1,-1,-1,-1,azteca america
"Balaclava Rd, Macquarie Park NSW 2109, Australia",macquarie university,-33.77382370000001,151.1126498,-33.76767285,151.1241553,-33.78067065,151.0997569,4.4,True,-1,-1,39,-1,macquarie university
"Macquarie Park NSW 2109, Australia",macquarie university,-33.7770817,151.1180126,-33.77603957010728,151.1197666298927,-33.77873922989272,151.1170669701073,4.1,,-1,-1,25,-1,macquarie university
"HÃÂ¸gskoleringen 1, 7034 Trondheim, Norway",norwegian university of science and technology,63.4194872,10.4019939,63.42089617989271,10.40327412989272,63.41819652010727,10.40057447010728,4.8,False,-1,-1,-1,-1,norwegian university of science and technology
"500 S State St, Ann Arbor, MI 48109, United States",university of michigan,42.2762537,-83.7412441,42.27761077989272,-83.74012902010728,42.27491112010728,-83.74282867989271,3.7,,-1,-1,-1,-1,university of michigan
"Strindvegen 4, 7034 Trondheim, Norway",sintef,63.41347769999999,10.4090425,63.41486952989271,10.41085017989272,63.41216987010727,10.40815052010728,5.0,False,-1,-1,-1,-1,sintef
"Adelaide SA 5000, Australia",school of mechanical engineering,-34.9194317,138.6056184,-34.91808187010728,138.6069682298927,-34.92078152989272,138.6042685701073,5.0,,0,-1,18,9,the school of mechanical engineering
"Peremohy Ave, 37, Kyiv, Ukraine, 03056",igor sikorsky kyiv polytechnic institute,50.4488974,30.456977,50.45024722989272,30.45832682989272,50.44754757010728,30.45562717010728,4.5,False,-1,-1,-1,-1,the australian photovoltaic institute
"NanoEngineering and Sciences Building, Seattle, WA 98195, United States",university of washington nanoengineering and sciences,47.6547685,-122.3096759,47.65611832989271,-122.3083260701073,47.65341867010726,-122.3110257298927,0.0,,-1,-1,-1,-1,university of sa defence and space
"Darling, Adelaide SA 5000, Australia","university of adelaide - faculty of sciences, engineering and technology",-34.9191219,138.6039232,-34.91777207010728,138.6052730298927,-34.92047172989272,138.6025733701073,5.0,True,9,-1,27,18,the faculty of sciences engineering and technology
"2627 NE 46th St, Seattle, WA 98105, United States",tesla,47.6616078,-122.2990303,47.66289852989272,-122.2980010701073,47.66019887010728,-122.3007007298927,4.5,True,-1,-1,-1,-1,tesla
"311 N 66th Ave, Yakima, WA 98908, United States",zonta club of yakima valley,46.6023082,-120.5962798,46.60365702989272,-120.5949849201073,46.60095737010728,-120.5976845798927,4.5,,-1,-1,-1,-1,the rotary club of whyalla
"4/151 Pirie St, Adelaide SA 5000, Australia",south australian space industry centre,-34.9258356,138.6054673,-34.92446697010728,138.6069815798927,-34.92716662989272,138.6042819201073,4.0,True,16,-1,34,25,the australian space discovery centre
"Leverrier St, Bruce ACT 2617, Australia",australian institute of sport,-35.2466186,149.1037801,-35.2398911,149.1096967,-35.2547999,149.0963847,4.5,True,-1,-1,30,-1,the australian institute of sport
"83 Clarence St, Sydney NSW 2000, Australia",administrative appeals tribunal (aat),-33.8660736,151.204623,-33.86447057010728,151.2058045298927,-33.86717022989272,151.2031048701073,2.3,True,-1,-1,33,-1,the administrative appeals tribunal
"New Haven, CT 06520, United States",yale university,41.3163244,-72.92234309999999,41.33114459999999,-72.91436304999999,41.30435019999999,-72.93627565000001,4.5,,-1,-1,-1,-1,yale university
"12302 Holmes Point Dr NE, Kirkland, WA 98034, United States",o. o. denny park,47.7093783,-122.2507821,47.71085192989271,-122.2491986701073,47.70815227010727,-122.2518983298928,4.7,True,-1,-1,-1,-1,dunny paper
"Whalers Way Rd, Sleaford SA 5607, Australia",whalerÃ¢ÂÂs way sanctuary,-34.9185261,135.6818826,-34.91719222010728,135.6832047298928,-34.91989187989272,135.6805050701073,4.6,,-1,-1,34,25,whaler s way
"Kitchener St, Netherby SA 5062, Australia",unley high school,-34.97082049999999,138.6210189,-34.96959752010727,138.6223780798927,-34.97229717989271,138.6196784201072,3.6,True,-1,-1,32,23,unley high school
"2001 37th Ave, San Francisco, CA 94116, United States",st. ignatius,37.7480695,-122.4959313,37.74928222989272,-122.4943110701073,37.74658257010728,-122.4970107298928,4.5,,-1,-1,-1,15,st ignatius college
"5003 12th Ave NE, Seattle, WA 98105, United States",university family ymca,47.6651523,-122.315385,47.66654002989272,-122.3140202201073,47.66384037010727,-122.3167198798927,4.1,True,-1,-1,-1,-1,university of sa
"1325 4th Ave #1335, Seattle, WA 98101, United States",equal justice coalition,47.60876,-122.3358732,47.61018237989272,-122.3343460201073,47.60748272010728,-122.3370456798927,0.0,,-1,-1,-1,-1,the animal justice party
"Woodville Oval, Oval Ave, Woodville South SA 5011, Australia",woodville district cricket club,-34.8876202,138.5373631,-34.88630017010728,138.5386773798927,-34.88899982989273,138.5359777201072,4.3,,-1,-1,51,42,woodville district cricket club
"41 Chelmer St E, Chelmer QLD 4068, Australia",western magpies afc,-27.5138118,152.9743764,-27.51246752010728,152.9756502298927,-27.51516717989272,152.9729505701072,4.3,True,-1,-1,35,-1,the western magpies
"Level 1/175 Fullarton Rd, Dulwich SA 5065, Australia",australian medical association south australia,-34.9360415,138.624701,-34.93476007010727,138.6260545798928,-34.93745972989272,138.6233549201073,2.5,True,-1,-1,43,34,australian medical association
"104 Anzac Park, Campbell ACT 2612, Australia",royal australian navy memorial,-35.2844124,149.1463058,-35.28311832010728,149.1477498298927,-35.28581797989273,149.1450501701073,5.0,True,-1,-1,35,-1,royal australian navy
"35 Junction Street, Welbourn, New Plymouth 4312, New Zealand",tenix nz,-39.0779863,174.09723,-39.07667617010728,174.0983732298927,-39.07937582989272,174.0956735701072,2.0,,-1,-1,-1,-1,engie anz
"8 Hugo Johnston Drive, Penrose, Auckland 1061, New Zealand",tenix,-36.9199781,174.820816,-36.91874287010728,174.8219379298927,-36.92144252989273,174.8192382701072,0.0,True,-1,-1,-1,-1,tei
"New Illawarra Rd, Lucas Heights NSW 2234, Australia",ansto - australia's nuclear science and technology organisation,-34.051141,150.9788961,-34.04987862010728,150.9805546298927,-34.05257827989272,150.9778549701072,4.3,True,-1,-1,42,-1,the australian nuclear science and technology organisation
"1305 Lumsden Rd, Port Orchard, WA 98367, United States",nova group,47.5236793,-122.6679065,47.52504077989273,-122.6667287201073,47.52234112010728,-122.6694283798928,4.3,,-1,-1,-1,-1,nova group
"3a/12 O'Sullivan Rd, Leumeah NSW 2560, Australia",blue chp,-34.0516425,150.8307668,-34.05024422010727,150.8320989798927,-34.05294387989272,150.8293993201073,5.0,False,-1,-1,39,-1,blue sky
"Ashmore Rd, Benowa QLD 4217, Australia",surfers paradise cricket club,-28.0071918,153.396048,-28.00619787010728,153.3973186798927,-28.00889752989272,153.3946190201072,4.6,False,-1,-1,29,-1,the surfers paradise cricket club
"Southwell Building, Osney Mead, Oxford OX2 0ES, United Kingdom","southwell building, university of oxford",51.7465152,-1.2711211,51.74784672989272,-1.269477270107278,51.74514707010728,-1.272176929892722,5.0,,-1,-1,-1,-1,the university of oxford
"W946+4XQ, Quaid-e-Azam Rd Public Chowk, Jutial, Gilgit, Gilgit-Baltistan 15150",northern areas associates,35.9053447,74.3624942,35.90671422989273,74.36386607989272,35.90401457010729,74.36116642010728,5.0,,-1,-1,-1,-1,northern areas council
"2/812 Stanley St, Woolloongabba QLD 4102, Australia",brisbane lions australian football club,-27.4862783,153.0367587,-27.48491312010728,153.0380938298927,-27.48761277989272,153.0353941701073,4.7,True,-1,-1,42,-1,stirling districts football club
"1130 Jervis St, Vancouver, BC V6E 2C7, Canada",st. paul's anglican church,49.2832131,-123.134029,49.28461282989272,-123.1327574701073,49.28191317010727,-123.1354571298927,4.2,False,-1,-1,-1,-1,the anglican church
"7901 2nd Ave S, Seattle, WA 98108, United States",th seafoods,47.5316209,-122.331808,47.53308637989272,-122.3302971701073,47.53038672010727,-122.3329968298927,0.0,False,-1,-1,-1,-1,thomas foods
"911 Stewart St, Seattle, WA 98101, United States",gethsemane lutheran church,47.61567059999999,-122.3341339,47.61706072989272,-122.3328545701073,47.61436107010728,-122.3355542298928,4.8,False,-1,-1,-1,-1,the lutheran church
"908 3rd St, Kirkland, WA 98033, United States",awareness meditation,47.6824702,-122.203788,47.68381377989272,-122.2024656701073,47.68111412010728,-122.2051653298927,0.0,,-1,-1,-1,-1,airbus eviation
"Yarralumla ACT 2600, Australia",yarralumla,-35.3047908,149.1069776,-35.2862261,149.1268902,-35.3154898,149.0724373,,,-1,-1,21,-1,yarralumla act
"3041 Woodcreek Dr STE 210, Downers Grove, IL 60515, United States",national sporting goods association,41.8298127,-88.035949,41.83115032989272,-88.03458927010728,41.82845067010728,-88.03728892989272,4.0,,-1,-1,-1,-1,international motor sports association
"6 Macquarie St, Sydney NSW 2000, Australia",nsw parliament,-33.8674319,151.2127188,-33.86606667010727,151.2138644798927,-33.86876632989271,151.2111648201073,4.3,True,-1,-1,33,-1,parliament
"Parliament House, 4 Harvest Terrace, West Perth WA 6005, Australia",parliament of western australia,-31.9519289,115.8472145,-31.95060212010728,115.8486409798927,-31.95330177989272,115.8459413201073,3.7,False,-1,-1,57,-1,the parliament of western australia
"350 Kirkland Ave, Kirkland, WA 98033, United States",kirkland performance center,47.6756833,-122.2008861,47.67698887989272,-122.1997557201073,47.67428922010728,-122.2024553798928,4.6,False,-1,-1,-1,-1,queensland performing arts centre
"Victoria, Australia",victoria,-36.9847807,143.3906074,-33.9806498,149.9764988,-39.19836129999999,140.9618587,,,-1,-1,10,-1,victoria s
"Government St, Victoria, BC V8V 2L8, Canada",parliament house,48.419625,-123.3702759,48.42097247989273,-123.36816285,48.41827282010728,-123.37098025,4.7,,-1,-1,-1,-1,parliament house
"15 Mitchell St, Darwin City NT 0800, Australia",legislative assembly of the northern territory,-12.4666881,130.843264,-12.46501632010728,130.8444930798927,-12.46771597989272,130.8417934201073,4.3,True,-1,-1,37,-1,legislative assembly of the northern territory
"Prince of Wales Hospital Level 3, High Street Building, Randwick NSW 2031, Australia",prince of wales hospital foundation,-33.9174175,151.2403137,-33.91610907010728,151.2418197298927,-33.91880872989272,151.2391200701073,4.5,True,-1,-1,75,-1,the prince of wales hospital foundation
"5712 30th Ave NE, Seattle, WA 98105, United States",national alliance of children,47.6707981,-122.2948678,47.67214812989272,-122.2935310201073,47.66944847010728,-122.2962306798927,5.0,,-1,-1,-1,-1,national gallery of ireland s
"OFFICE A - LEVEL 1/9 Mount St, North Sydney NSW 2060, Australia",catholic religious australia,-33.839184,151.2052112,-33.83784597010728,151.2067092798927,-33.84054562989272,151.2040096201072,0.0,,-1,-1,54,-1,catholic health australia
"10021 NE 124th St, Kirkland, WA 98034, United States",holy spirit lutheran church - kirkland,47.7107034,-122.2067724,47.71208062989272,-122.2055430701073,47.70938097010728,-122.2082427298927,4.5,False,-1,-1,-1,-1,the church of ireland
"12040 98th Ave NE #104, Kirkland, WA 98034, United States",pinnacle health chiropractic,47.708782,-122.209105,47.71005487989272,-122.2076737701073,47.70735522010728,-122.2103734298928,5.0,False,-1,-1,-1,-1,access chiropractic
"54 Kidston Cres, Curtin ACT 2605, Australia","curtin, act 2605",-35.3215874,149.0827709,-35.32021597010728,149.0841913298927,-35.32291562989272,149.0814916701073,0.0,,-1,-1,34,-1,tarrant curtin act
"9JMR+HMQ, Toledo City, Cebu, Philippines",air land sea task force / joint special operations group,10.3839654,123.6417326,10.38530132989272,123.6430788798927,10.38260167010728,123.6403792201073,0.0,True,-1,-1,-1,-1,the special air service regiment special operations command
"Prince George, BC V2M 4N7, Canada",5th ave at brigade,53.920694,-122.8001829,53.92199997989272,-122.7988328701073,53.91930032010728,-122.8015325298928,0.0,,-1,-1,-1,-1,th brigade
"Northcott Dr, Campbell ACT 2612, Australia",unsw canberra at the australian defence force academy,-35.2917997,149.1661406,-35.29082982010728,149.1668823298927,-35.29352947989273,149.1641826701073,4.3,,-1,-1,33,-1,the australian defence force academy
"Kirkpatrick St, Weston ACT 2611, Australia",australian defence college,-35.3192596,149.0577392,-35.31795322010728,149.0589466798928,-35.32065287989273,149.0562470201073,4.5,True,-1,-1,33,-1,australian defence force
"Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",brigade road,12.9715783,77.6066907,12.97288877989272,77.60803632989273,12.97018912010728,77.60533667010729,4.5,,-1,-1,-1,-1,renegade records
"Beatty Street Drill Hall, 620 Beatty St, Vancouver, BC V6B 2L9, Canada",b.c. regiment (duke of connaught's own) drill hall,49.2795795,-123.1105304,49.28097412989273,-123.1092518201073,49.27827447010728,-123.1119514798927,4.8,,-1,-1,-1,-1,the parliament of victoria
"Joint Base Lewis-McChord, WA 98433, United States",13th cssb motorpool,47.131095,-122.5895204,47.13242832989273,-122.5884650701073,47.12972867010728,-122.5911647298927,0.0,True,-1,-1,-1,-1,the swell mobto
"6735 N Basin Ave, Portland, OR 97217, United States",us marine corps 6th engineer support battalion,45.5714507,-122.7191828,45.57296682989273,-122.7181292201073,45.57026717010728,-122.7208288798927,5.0,,-1,-1,-1,-1,the rd combat service support battalion
"Chandler St, Kogarah NSW 2216, Australia","army reserve, 4th/3rd battalion, royal new south wales regiment",-33.9591269,151.1419529,-33.95756857010727,151.1432787298928,-33.96026822989271,151.1405790701073,5.0,False,-1,-1,31,-1,the royal south australian regiment
"Regimental Square, 339A George St, Sydney NSW 2000, Australia",royal australian regiment memorial,-33.8670493,151.2068463,-33.86555797010728,151.2081210798927,-33.86825762989272,151.2054214201073,4.4,True,-1,-1,52,-1,the royal australian regiment
"Chickamauga, GA 30707, United States",monuments to colonel robert minty's cavalry brigade - 4th u.s. cavalry regiment,34.9306353,-85.2290259,34.93195752989273,-85.22758767010727,34.92925787010728,-85.2302873298927,0.0,,-1,-1,-1,-1,the royal australian regiment
"11256 B St, Joint Base Lewis-McChord, WA 98433, United States","1st battalion, 17th infantry regiment",47.12966180000001,-122.5956628,47.13102802989273,-122.5943395701073,47.12832837010728,-122.5970392298928,3.4,True,-1,-1,-1,-1,the royal south australian regiment
"6029 41st Division Dr, Joint Base Lewis-McChord, WA 98433, United States",nco academy,47.09697449999999,-122.5880888,47.09819637989272,-122.5864863701073,47.09549672010728,-122.5891860298927,0.0,,-1,-1,-1,-1,jmc academy
"1201 Western Ave, Seattle, WA 98101, United States",washington state wine commission,47.6058089,-122.3390307,47.60719057989272,-122.3376025701073,47.60449092010728,-122.3403022298927,0.0,True,-1,-1,-1,-1,the state planning commission
"36062 WA-14, Stevenson, WA 98648, United States",us interior department,45.7032778,-121.857459,45.70464172989273,-121.8561282201072,45.70194207010729,-121.8588278798927,3.0,,-1,-1,-1,-1,the industry department
"1755 W 1st Ave, Vancouver, BC V6J 0G7, Canada",39 signal regiment hq,49.270789,-123.1439856,49.27215697989272,-123.1426354201073,49.26945732010728,-123.1453350798927,5.0,False,-1,-1,-1,-1,the st signal regiment
"14751 N Kelsey St SUITE 106, Monroe, WA 98272, United States",u.s. army monroe recruiting station,47.86409260000001,-121.9750912,47.86547412989272,-121.9737414701073,47.86277447010728,-121.9764411298927,5.0,True,-1,-1,-1,-1,mimp connecting solutions
United States,united states,37.09024,-95.712891,49.38,-66.94,25.82,-124.39,,,-1,-1,-1,-1,united states
"1200 Carillon Point, Kirkland, WA 98033, United States",seaplane scenics,47.6569353,-122.2071117,47.65817097989272,-122.2058349201073,47.65547132010728,-122.2085345798927,4.8,True,-1,-1,-1,-1,gene ethics
