formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"1176 Granville St, Vancouver, BC V6Z 1L8, Canada",howard johnson by wyndham vancouver downtown,49.2773548,-123.1256529,49.27867657989271,-123.1243059201072,49.27597692010727,-123.1270055798927,3.1,True,-1,-1,-1,-1,st john ambulance squadron
"2270 KalÃÂkaua Ave #801, Honolulu, HI 96815, United States",hawaii visitors and convention bureau,21.2790716,-157.8279541,21.28048462989273,-157.8266822701073,21.27778497010728,-157.8293819298927,4.7,True,-1,-1,-1,-1,the hawaii visitors and convention bureau
"120 Dickenson St, Lahaina, HI 96761, United States",lahaina restoration foundation,20.87365,-156.6776523,20.87501472989272,-156.6763163201072,20.87231507010728,-156.6790159798927,4.2,True,-1,-1,-1,-1,the lahaina restoration foundation
"2490 KalÃÂkaua Ave, Honolulu, HI 96815, United States",Ã¢ÂÂalohilani resort waikiki beach,21.2747071,-157.8233668,21.27625907989272,-157.8218739701073,21.27355942010728,-157.8245736298927,4.2,True,-1,-1,-1,-1,the alohilani resort
"2802 Broadway, Everett, WA 98203, United States",volunteers of america western washington,47.9801308,-122.2018881,47.98154732989273,-122.2005771701073,47.97884767010729,-122.2032768298928,4.5,True,-1,-1,-1,-1,university of western australia
"2101 Wilson Blvd #700, Arlington, VA 22201, United States",national defense industrial association,38.8918452,-77.0853766,38.89327572989271,-77.08380842010727,38.89057607010727,-77.08650807989272,4.0,True,-1,-1,-1,-1,national employment services association
"400 Oxford St, London W1A 1AB, United Kingdom",selfridges,51.5144233,-0.152767,51.51588617989272,-0.1508267201072777,51.51318652010728,-0.1535263798927222,4.4,False,-1,-1,-1,-1,selfridges
"1200 6th Ave #155, Seattle, WA 98101, United States",u.s. environmental protection agency,47.6090949,-122.3320121,47.61038792989272,-122.3308990201073,47.60768827010727,-122.3335986798927,2.8,True,-1,-1,-1,-1,the environment protection agency
"Churchill Ave, Hobart TAS 7005, Australia",university of tasmania,-42.9041118,147.3247504,-42.89724885,147.3337486,-42.90804545,147.316531,3.9,,-1,-1,32,-1,the university of tasmania
"Hillcrest, Hamilton 3216, New Zealand",university of waikato,-37.7868611,175.3184579,-37.77603099999998,175.3311116,-37.7951182,175.3047296,4.4,,-1,-1,-1,-1,the university of waikato
