link,tech,person,nationality,building,organization,country,location,product,event,money
https://www.proquest.com/anznews/docview/2462432633/F20B1B72372F42A4PQ/43?accountid=14649,crowd funding,"mariah huthmann grace, john grace, mariah, grace, tangi, maori, huthmann, che, jamie fiona che, jayson levi, lawrence",,,nca newswire,adelaide,,,,
https://www.proquest.com/anznews/docview/2462440117/F20B1B72372F42A4PQ/44?accountid=14649,crowd funding,"mariah huthmann grace, john grace, mariah, grace, tangi, maori, huthmann, che, jamie fiona che, jayson levi, lawrence, kia",,,nca newswire,adelaide,,,,
https://www.proquest.com/anznews/docview/2508694360/F20B1B72372F42A4PQ/45?accountid=14649,crowd funding,rebecca sandford,"australian, sa",,"the law council of australia, the legal services commission, law society of sa",south australia s,,,,
https://www.proquest.com/anznews/docview/2610184258/F20B1B72372F42A4PQ/46?accountid=14649,crowd funding,"jo dyer, boothby, christian porter, a bowers glenelg, steven marshall, matthew benns, assange, barnaby joyce, julian assange, glen chenoweth, lucas scroop, sace, clare peddie s, lucas, ken madigan, brian measday, the advertiser, brian, roger hanckel glenelg","american, victorian, swan, uk",bar neil hodges craigburn farm,"adelaide writers week, biocina s, west beach surf life saving club, the federal government, wikileaks","south australia s, victoria, us, australia, uk s","east coast, australia",,,
https://www.proquest.com/anznews/docview/2539042714/F20B1B72372F42A4PQ/47?accountid=14649,crowd funding,"myf warhurst, the cat empire, danny pearson, natalee kerr, howarth, ms howarth, bowker, jason borg, borg, matt bowker, mcarthur, chad van estrop, andy robertson, robertson, olivia, covid, james merlino, merlino, sutton, steve atkinson, atkinson, wayne allan, ben flynn, flynn, brett ince, ince, tamara mcdonald, hugh whitehead, whitehead, dave cairns","victorian, australian, victorians, western australian, melburnians","the potato shed, port campbell national park, bellarine railway heritage, the cape otway lighthouse, the great ocean road, green corner caf, ryrie st","geelong regional libraries, museum of play and art, geelong planet protector packaging, the manufacturing modernisation fund, birchal dave cairns, parks victoria, the eastern maar aboriginal corporation, nsw, jetstar, katharsis, deakin university s, the c group, geelong boutique engineering, workplace alliance, gps electrical services, corio workplace alliance, katharsis com, geelong chamber of commerce, bellarine, green cafe, the good meal project, colac","victoria, geelong, china, australia, new zealand, sydney, queensland, melbourne, avalon, tasmania, south australia, greater geelong","surf coast, the gold coast, the bellarine peninsula, the surf coast",katharsis,"the long weekender, the long weekend festival, falls festival, a day on the green sets, the long weekender music festival, national celtic festival",
https://www.proquest.com/anznews/docview/2501957029/F20B1B72372F42A4PQ/48?accountid=14649,crowd funding,"ben waddell, zac efron, efron, waddell, whitney smith, darin olien, nacelle",,,"netflix, the herald sun, nacelle","new york, australia, us, iceland, sardinia england, peru france, puerto rico, costa rica, california, south australia",,,,
https://www.proquest.com/anznews/docview/2573080403/F20B1B72372F42A4PQ/49?accountid=14649,crowd funding,"chris vanderstock, kath davies, simon hackett, simon holmes, vanderstock, davies, jack mclean, noah schultz byard, tim pallas","victorian, australians, victorians",,"redflow, the australia institute, the high court","victoria, nsw, south australia",,,,
https://www.proquest.com/anznews/docview/2489019000/F20B1B72372F42A4PQ/51?accountid=14649,crowd funding,"grant stevens, john hindmarsh, stevens, nicola spurrier, steven marshall, spurrier, simon birmingham, birmingham, scott morrison, asc, perth, courtney morcombe, marshall, john howard, sanjeev gupta, gupta, john olsen, olsen, andrew fagan, david lloyd, lloyd, tanya hosch, ms hosch, hosch, gabby costigan, costigan, craig lockhart, arm lockhart, peter malinauskas, malinauskas, darren thomas, thomas, chris, verschoor, nick reade, reade, shahin, heather croall, croall, vickie chapman, chapman, john davis, davis, jack buckskin, a kaurna man, buckskin, jessica davies huynh, isobel marshall, eloise hall, kardachi, laura sharrad, max sharrad, justin lane, nikki govan, govan, doug","south australian, south australians, british, australian, kaurna, kardachi","mw, whyalla, the adelaide aquatic centre, thebarton oval, osborne s, murray bridge, le cornu, the adelaide central market arcade, the bend motorsport park, north terrace s, royal adelaide hospital site, rigoni s, leigh street","senate, durham university, arrium, the adelaide crows, crows, the adelaide oval stadium management authority, university of south australia, unisa, the committee for adelaide, adelaide university, afl, gilles plains primary, the indigenous players alliance, bae systems, bn, bae, bae systems australia s, sa, bae s, maritime australia, osborne shipbuilding team, the legislative council, the shop distributive and allied employees association, thomas foods international s, adelaide city council, banksa, the department of the premier and cabinet, peregrine corporation, krispy kreme sa smokemart, the adelaide fringe, naval group, business sa, star of greece restaurant, adelaide city council s, the australian chamber of commerce","south australia, osborne, uk, cultana, us, los angeles, new york, sanfl, adelaide, lefevre peninsula, peregrine s, australia, sa","west lakes, north adelaide s, africa",,the coronavirus pandemic s,
https://www.proquest.com/anznews/docview/2609814631/F20B1B72372F42A4PQ/52?accountid=14649,crowd funding,"jo dyer, dyer, christian porter, porter, simon birmingham",,,"adelaide writers week, the australian electoral commission","south australia s, abc, adelaide",,,,
https://www.proquest.com/anznews/docview/2609815577/F20B1B72372F42A4PQ/53?accountid=14649,crowd funding,"jo dyer, dyer, christian porter, porter, simon birmingham",,,"adelaide writers week, the australian electoral commission","south australia s, abc, adelaide",,,,
https://www.proquest.com/anznews/docview/2651919154/F20B1B72372F42A4PQ/54?accountid=14649,crowd funding,"simon griffiths, griffiths, jehan ratnatunga, ratnatunga, danny alexander, frances whiting, shalise leesfield, shalise leesfield s, leesfield, philippe cousteau, jacques yves cousteau, sylvia earle, elissa lawrence, dominic mcafee, perth, mcafee, leanne edmistone, angel owen, owen, wagamdagamkungarakun man tipasa pearson, tipasa, euleilah  owen, dan adams, dan adams s, pearl jam, kevin rudd, chris thompson, adams, thompson, sam elsom, zac efron, efron, elsom, carmen da silva, julian beaman, adelaide, da silva, beaman, the david attenboroughs, steve irwins, ashleigh morris, jaine morris, ashleigh right, ashleigh, jaine, ash, rio tinto, bhp elissa lawrence, anika molesworth, molesworth, nic cooper, cooper, shanti raka, covid","australian, european, tasmanian, canadian, uk, balinese",,"the university of melbourne, wateraid, earthecho international youth in action, environmental protection authority, shalise s ocean support, macquarie university, university of adelaide, first nations, seed indigenous youth climate network, first nations led, monash university, boston consulting group, netflix, sea forest, csiro, the sea forest project, flinders university, university of queensland, university of new south wales, usc, lendlease, coreo, farmers for climate action, wam","melbourne, united states, united kingdom, port macquarie, australia, hawaii, nsw, newtown sydney, adelaide, sydney, st kilda, triabunna pop approx, hollywood, triabunna, tasmania, elsom, frances, sa, victoria, beaman, indonesia, queensland s, bali","europe, the nsw mid north coast, lake cathie, coffs harbour, glenelg reef, creek, flinders kangaroo island, mornington island, the gulf of carpentaria, twin waters, sunshine coast, broken hill, far west nsw, australia, the mornington peninsula",,"the parley ocean uprise youth summit, the luminosity youth summit",
