company,link,title,date_,publisher_,source_type_
SAVCF,https://www.proquest.com/anznews/docview/2444442926/87DC7478C7514E28PQ/5?accountid=14649,Analyst is fully invested in youth,"Sep 22, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2434597716/87DC7478C7514E28PQ/6?accountid=14649,Elaine Stead quits Myriota,"Aug 18, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/1935010016/87DC7478C7514E28PQ/7?accountid=14649,Adelaide’s ascent in a state of start-ups,"Sep 5, 2017",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2285240661/87DC7478C7514E28PQ/8?accountid=14649,Adelaide boy makes good keeping an eye on our fund,"Sep 7, 2019",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2279873302/87DC7478C7514E28PQ/9?accountid=14649,Venture Capital Fund constrained by deal,"Aug 27, 2019",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/1916466953/87DC7478C7514E28PQ/10?accountid=14649,Blue Sky wins $50m venture fund deal,"Jul 7, 2017",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2371172534/87DC7478C7514E28PQ/11?accountid=14649,Sydney firm to run SA’s venture capital fund,"Mar 6, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2351518317/87DC7478C7514E28PQ/12?accountid=14649,SA’s VC Fund manager quits,"Feb 7, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2406383177/87DC7478C7514E28PQ/13?accountid=14649,Funds raised for cancer tracers,"May 26, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/1955560847/87DC7478C7514E28PQ/14?accountid=14649,Five in line for first lot of venture capital cash,"Oct 27, 2017",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2228241511/87DC7478C7514E28PQ/15?accountid=14649,Venture fund could avoid Blue Sky blues,"May 22, 2019",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/1955563971/87DC7478C7514E28PQ/16?accountid=14649,Five in line for first lot of venture capital cash,"Oct 27, 2017",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2227915329/87DC7478C7514E28PQ/17?accountid=14649,Venture fund could avoid Blue Sky blues,"May 22, 2019",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2386359406/87DC7478C7514E28PQ/18?accountid=14649,SA’s venture fund is back and raring to go,"Apr 7, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2348406422/87DC7478C7514E28PQ/19?accountid=14649,Fund manager sues Fairfax,"Jan 31, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2348248740/87DC7478C7514E28PQ/20?accountid=14649,Fund manager sues Fairfax,"Jan 31, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2303220813/87DC7478C7514E28PQ/21?accountid=14649,Venture Capital Fund mandate attracts strong interest with short list identified,"Oct 11, 2019",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2267443946/87DC7478C7514E28PQ/22?accountid=14649,Government fund seeks a new manager,"Aug 2, 2019",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/2413223783/87DC7478C7514E28PQ/23?accountid=14649,GETTING A KICKSTART FOR YOUR START-UP IDEAS,"Jun 16, 2020",Nationwide News Pty Ltd,Newspaper
SAVCF,https://www.proquest.com/anznews/docview/1802102157/87DC7478C7514E28PQ/24?accountid=14649,"SA budget: Small business focus to create jobs in struggling market: Grants to encourage small businesses to employ more people, invest in innovation and entice companies to relocate to South Australia are key planks in the state's budget.","Jul 7, 2016",Australian Broadcasting Corporation,Wire Feed
Seed Terminator,https://www.proquest.com/anznews/docview/2622804496/AAD840DA22404254PQ/1?accountid=14649,Machine tackles weed seeds,"Jan 27, 2022",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2637384382/AAD840DA22404254PQ/2?accountid=14649,Agriculture KI marks 25 years,"Mar 10, 2022",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2447997480/AAD840DA22404254PQ/3?accountid=14649,"Seed Terminator celebrates 200th instillation, a South Australian success story","Oct 3, 2020",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2451683521/AAD840DA22404254PQ/4?accountid=14649,Seeds of a SA success story,"Oct 19, 2020",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2464900765/AAD840DA22404254PQ/5?accountid=14649,Windrowing trial tackles weed seed bank,"Nov 29, 2020",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2540606795/AAD840DA22404254PQ/6?accountid=14649,Agribusiness is sowing seeds of export success,"Jun 15, 2021",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2457763616/AAD840DA22404254PQ/7?accountid=14649,"LOCAL HUBS, WORLD-CLASS ENVIRONMENTS","Nov 6, 2020",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2522956436/AAD840DA22404254PQ/8?accountid=14649,Robot welds Rowlands into the 21st century,"May 8, 2021",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2216498980/AAD840DA22404254PQ/9?accountid=14649,Island inventor Dr Nick Berry sees Seed Terminator into full production,"Apr 30, 2019",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2404704506/AAD840DA22404254PQ/10?accountid=14649,Century milestone for Seed Terminator,"May 21, 2020",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2402566682/AAD840DA22404254PQ/11?accountid=14649,100th Seed Terminator machine fitted on local KI combine harvester,"May 15, 2020",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/1938249301/AAD840DA22404254PQ/12?accountid=14649,Terminating SA weeds,"Sep 14, 2017",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2217714539/AAD840DA22404254PQ/13?accountid=14649,Island invention now in production,"May 2, 2019",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/1876613132/AAD840DA22404254PQ/14?accountid=14649,Seed terminated by machine,"Mar 9, 2017",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2095866148/AAD840DA22404254PQ/15?accountid=14649,Hart agenda targets technology benefits,"Aug 30, 2018",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2098852576/AAD840DA22404254PQ/16?accountid=14649,Field day ready to roll this month,"Sep 4, 2018",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2099156768/AAD840DA22404254PQ/17?accountid=14649,Field day ready to roll this month,"Sep 5, 2018",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2092673922/AAD840DA22404254PQ/18?accountid=14649,"Another year, another great line-up","Aug 25, 2018",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2064916956/AAD840DA22404254PQ/19?accountid=14649,OFF THE DRAWING BOARD INTO REALITY: INVENTION’S BROUGHT TO LIFE AT FLINDERS,"Jul 7, 2018",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2099158829/AAD840DA22404254PQ/20?accountid=14649,Great line up guaranteed,"Sep 5, 2018",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2267220307/AAD840DA22404254PQ/21?accountid=14649,Weed seeds terminated without using chemicals,"Aug 1, 2019",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2268092293/AAD840DA22404254PQ/22?accountid=14649,Weed seeds terminated without using chemicals,"Aug 4, 2019",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2034344575/AAD840DA22404254PQ/23?accountid=14649,Early support for SA tech start-ups unlocks successes,"May 5, 2018",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2404462033/AAD840DA22404254PQ/24?accountid=14649,Fast Movers SA top 14-4,"May 20, 2020",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2393210001/AAD840DA22404254PQ/25?accountid=14649,Investment push to find new weed controls,"Apr 23, 2020",Fairfax Media Publications Pty Limited,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/1921220978/AAD840DA22404254PQ/26?accountid=14649,A keen eye on SA’s top innovators,"Jul 22, 2017",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2406383319/AAD840DA22404254PQ/27?accountid=14649,SA FAST MOVERS 2020,"May 26, 2020",Nationwide News Pty Ltd,Newspaper
Seed Terminator,https://www.proquest.com/anznews/docview/2319291736/AAD840DA22404254PQ/28?accountid=14649,Crop farmers get grain harvest underway on Kangaroo Island,"Nov 29, 2019",Fairfax Media Publications Pty Limited,Newspaper
Signostics,https://www.proquest.com/anznews/docview/354839260/631A336EAC054894PQ/1?accountid=14649,"Just what the doctor ordered, invention of a pocket ultrasound","Mar 28, 2009",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1668027191/631A336EAC054894PQ/2?accountid=14649,US pioneer to head Signostics [Advertiser2 Edition],"Apr 2, 2015",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/354906101/631A336EAC054894PQ/3?accountid=14649,Signostics in U.S. push,"Jul 28, 2009",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/365412869/631A336EAC054894PQ/4?accountid=14649,Accolades for Signostics,"Jun 8, 2010",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1733940079/631A336EAC054894PQ/5?accountid=14649,$US35m Signostics boost a bonus for Tonsley growth,"Nov 19, 2015",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/347827354/631A336EAC054894PQ/6?accountid=14649,SIGNOSTICS New chairman,"Jun 1, 2010",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/817274802/631A336EAC054894PQ/7?accountid=14649,Signostics looks for overseas partner,"Dec 14, 2010",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/2187586546/631A336EAC054894PQ/8?accountid=14649,Signostics placed in liquidation,"Mar 5, 2019",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/355040295/631A336EAC054894PQ/9?accountid=14649,Signostics tuned into expansion,"Jul 15, 2008",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1837107161/631A336EAC054894PQ/10?accountid=14649,Collaboration explosion,"Nov 9, 2016",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/356099472/631A336EAC054894PQ/11?accountid=14649,Cash grants a boost to ultrasound - South Australia: Special Report,"May 3, 2008",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1033195899/631A336EAC054894PQ/12?accountid=14649,BUSINESS DIARY Advantage Adelaide (SA),"Aug 14, 2012",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/354877179/631A336EAC054894PQ/13?accountid=14649,Top design award,"Dec 23, 2008",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1648096247/631A336EAC054894PQ/14?accountid=14649,Bladder scanner gets US all clear [Advertiser Edition],"Jan 27, 2015",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/354937855/631A336EAC054894PQ/15?accountid=14649,Funding drop but bio hub shows healthy growth '08 '09 BIOTECH SECTOR,"Jun 23, 2009",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1826775714/631A336EAC054894PQ/16?accountid=14649,Our bright ideas are catching eye of world,"Oct 8, 2016",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1963149275/631A336EAC054894PQ/17?accountid=14649,Breakthrough for firm in business of saving lives,"Nov 14, 2017",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/2114678501/631A336EAC054894PQ/18?accountid=14649,I CHOOSE SA,"Sep 29, 2018",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/354717581/631A336EAC054894PQ/19?accountid=14649,$5.5m to help boost market for palm-sized ultrasound,"Mar 26, 2010",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1357518229/631A336EAC054894PQ/20?accountid=14649,Opening market doors,"Jun 4, 2013",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/757559881/631A336EAC054894PQ/21?accountid=14649,Snelling to scrap tech investor arm,"Oct 14, 2010",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1312446270/631A336EAC054894PQ/22?accountid=14649,Ultrasound firm puts itself in the picture,"Feb 27, 2013",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/885579084/631A336EAC054894PQ/23?accountid=14649,Signos images poised to grow,"Aug 30, 2011",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1012448402/631A336EAC054894PQ/24?accountid=14649,Innovators join start-up network,"May 12, 2012",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1793660898/631A336EAC054894PQ/25?accountid=14649,Left to our own devices: SA's med-tech bonanza,"Jun 4, 2016",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/2307757706/631A336EAC054894PQ/26?accountid=14649,"Company executive in $250,000 court victory","Oct 24, 2019",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1443437917/631A336EAC054894PQ/27?accountid=14649,Strong social media policies are essential,"Oct 22, 2013",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/2032731465/631A336EAC054894PQ/28?accountid=14649,TAKE A CHANCE ON ME,"Apr 28, 2018",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1752512488/631A336EAC054894PQ/29?accountid=14649,Catching the state's big ones of the year,"Dec 31, 2015",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/1610725972/631A336EAC054894PQ/30?accountid=14649,Handy scanner a boon for bedside diagnostics [Advertiser Edition],"Oct 14, 2014",Nationwide News Pty Ltd,Newspaper
Signostics,https://www.proquest.com/anznews/docview/877467107/631A336EAC054894PQ/31?accountid=14649,IVF pipette delivers export potential,"Jul 19, 2011",Nationwide News Pty Ltd,Newspaper
