company,link,title,date_,publisher_,source_type_
Code Like a Girl,https://www.proquest.com/anznews/docview/2528585855/86F07186793F46C3PQ/1?accountid=14649,Four ways to use volunteering to kickstart your career,"May 17, 2021",Nationwide News Pty Ltd,Newspaper
Code Like a Girl,https://www.proquest.com/anznews/docview/2528621539/86F07186793F46C3PQ/2?accountid=14649,Opportunities to gain experience and network,"May 19, 2021",Nationwide News Pty Ltd,Newspaper
Code Like a Girl,https://www.proquest.com/anznews/docview/2093260869/86F07186793F46C3PQ/3?accountid=14649,CRACKING CODE TO YOUR FUTURE,"Aug 25, 2018",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/354929900/F6B6802DB439452BPQ/1?accountid=14649,"[YESTERDAY morning, His Excellency the Governor addressed the gathering and presented awards at the ""Concept2Creation"" student expo at the Golden Grove Arts Centre, convened by the Northern Advanced Manufacturing Industry Group]","Nov 13, 2008",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/354847101/F6B6802DB439452BPQ/2?accountid=14649,"[YESTERDAY morning His Excellency the Governor, as program patron, addressed the schools participating in the student expo of the Concept2Creation Program of Northern Advanced Manufacturing Industry Group Inc at the Golden Grove Arts Centre]","Nov 5, 2009",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/1627100988/F6B6802DB439452BPQ/3?accountid=14649,SMART and they have BIG HEARTS [Advertiser2 Edition],"Nov 25, 2014",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/354688535/F6B6802DB439452BPQ/4?accountid=14649,"YESTERDAY morning at Government House, His Excellency the Governor received [Derived headline]","Mar 25, 2010",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/1449938996/F6B6802DB439452BPQ/5?accountid=14649,VICE-REGAL,"Nov 13, 2013",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/355159813/F6B6802DB439452BPQ/6?accountid=14649,Students to show their creations: [1 State Edition],"Nov 11, 2006",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/355295143/F6B6802DB439452BPQ/7?accountid=14649,Science Alive! National Science Week 2006 ADVERTISING FEATURE Hands-on fun for all ages: [1 State Edition],"Aug 11, 2006",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/354995817/F6B6802DB439452BPQ/8?accountid=14649,Science Alive! National Science Week Advertising Feature A hands-on learning experience: [1 State Edition],"Aug 10, 2007",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/518612242/F6B6802DB439452BPQ/9?accountid=14649,Course offers direct link to a rewarding job Demand surges for electrotech study,"Jun 15, 2010",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/2124823693/F6B6802DB439452BPQ/10?accountid=14649,VICE-REGAL,"Oct 26, 2018",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/1619519345/F6B6802DB439452BPQ/11?accountid=14649,VICE-REGAL [Advertiser Edition],"Nov 5, 2014",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/355295057/F6B6802DB439452BPQ/12?accountid=14649,Science Alive! National Science Week 2006 ADVERTISING FEATURE Gadgets and games: [1 State Edition],"Aug 11, 2006",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/902756808/F6B6802DB439452BPQ/13?accountid=14649,Scalextric with a modern twist,"Nov 10, 2011",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/763731822/F6B6802DB439452BPQ/14?accountid=14649,LMBriefly ...........................................................,"Nov 10, 2010",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/734834650/F6B6802DB439452BPQ/15?accountid=14649,Skills course to continue,"Aug 5, 2010",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/1197601976/F6B6802DB439452BPQ/16?accountid=14649,STUDENTS ATTEND EXPO,"Nov 27, 2012",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/763180477/F6B6802DB439452BPQ/17?accountid=14649,"YESTERDAY morning, His Excellency the Governor, as patron of Foundation [Derived headline]","Nov 11, 2010",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/902756858/F6B6802DB439452BPQ/18?accountid=14649,"YESTERDAY morning at Government House, His Excellency the Governor received [Derived headline]","Nov 10, 2011",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/1151717746/F6B6802DB439452BPQ/19?accountid=14649,YESTERDAY morning at Government House His Excellency the Governor received [Derived headline],"Nov 15, 2012",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/354682027/F6B6802DB439452BPQ/20?accountid=14649,[FLIGHT CHALLENGE NEARS],"Oct 13, 2009",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/354904435/F6B6802DB439452BPQ/21?accountid=14649,SCHOOLS Making science sense,"Apr 28, 2009",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/1031170562/F6B6802DB439452BPQ/22?accountid=14649,Aerial challenge draws students,"Aug 7, 2012",Nationwide News Pty Ltd,Newspaper
Concept2Creation,https://www.proquest.com/anznews/docview/926450838/F6B6802DB439452BPQ/23?accountid=14649,Men's Shed to fulfil need,"Mar 7, 2012",Nationwide News Pty Ltd,Newspaper
CORE Innovation Hub,https://www.proquest.com/anznews/docview/2636947034/2DCD08370F1D44E3PQ/1?accountid=14649,Reward for lots in store,"Mar 8, 2022",Nationwide News Pty Ltd,Newspaper
CORE Innovation Hub,https://www.proquest.com/anznews/docview/2466107831/2DCD08370F1D44E3PQ/2?accountid=14649,"Joe Aston’s AFR columns ‘obliterated’ mental health, Elaine Stead tells court","Dec 2, 2020",Nationwide News Pty Ltd,Newspaper
CORE Innovation Hub,https://www.proquest.com/anznews/docview/2466107188/2DCD08370F1D44E3PQ/3?accountid=14649,"Joe Aston’s columns caused investors and start-ups to have second thoughts about Elaine Stead, Court hears","Dec 2, 2020",Nationwide News Pty Ltd,Newspaper
CORE Innovation Hub,https://www.proquest.com/anznews/docview/2451904352/2DCD08370F1D44E3PQ/4?accountid=14649,Awards for innovators,"Oct 20, 2020",Nationwide News Pty Ltd,Newspaper
CORE Innovation Hub,https://www.proquest.com/anznews/docview/2566132558/2DCD08370F1D44E3PQ/5?accountid=14649,Focus on future of copper,"Aug 31, 2021",Nationwide News Pty Ltd,Newspaper
CORE Innovation Hub,https://www.proquest.com/anznews/docview/2415563337/2DCD08370F1D44E3PQ/6?accountid=14649,CORE hub to help to unearth big ideas,"Jun 23, 2020",Nationwide News Pty Ltd,Newspaper
