company,link,title,date_,publisher_,source_type_
Tier 5,https://www.proquest.com/anznews/docview/1659760202/1A6E274DAB604023PQ/13?accountid=14649,Inside the uber-geek's SA genius incubator [Advertiser Edition],"Mar 3, 2015",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/1371414153/1A6E274DAB604023PQ/14?accountid=14649,TODAY [Derived headline],"Jun 27, 2013",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/1449772390/1A6E274DAB604023PQ/15?accountid=14649,MANUFACTURING Special Report TONSLEY TURNS THE CORNER,"Nov 12, 2013",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/1987259132/1A6E274DAB604023PQ/16?accountid=14649,Land sale as Tonsley debt hits taxpayers,"Jan 15, 2018",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/2100414206/1A6E274DAB604023PQ/17?accountid=14649,Tesla to unveil its new seat of power,"Sep 8, 2018",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/1661717084/1A6E274DAB604023PQ/18?accountid=14649,Expect a Dalek greeting [City Edition],"Mar 4, 2015",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/1495458977/1A6E274DAB604023PQ/19?accountid=14649,Two will do battle to be Elder stateswoman,"Feb 8, 2014",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/361068143/1A6E274DAB604023PQ/20?accountid=14649,MIDNIGHT OIL: [1 FIRST Edition],"Dec 15, 2007",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/884625603/1A6E274DAB604023PQ/21?accountid=14649,Pressure sees thinking inside the box - CLOUD COMPUTING AND DATA CENTRES -,"Aug 23, 2011",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/873530886/1A6E274DAB604023PQ/22?accountid=14649,SPORTS UPDATE,"Jun 25, 2011",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/1491929817/1A6E274DAB604023PQ/23?accountid=14649,Tenants near for Tonsley,"Jan 29, 2014",Nationwide News Pty Ltd,Newspaper
Tier 5,https://www.proquest.com/anznews/docview/2405373435/1A6E274DAB604023PQ/24?accountid=14649,Working visa relief for UK-bound Aussies,"May 22, 2020",Nationwide News Pty Ltd,Newspaper
