company,link,title,date_,publisher_,source_type_
Michael Place,https://www.proquest.com/anznews/docview/1700777224/C5CD472B9E4844A9PQ/57?accountid=14649,IS RIO READY TO SAMBA ?,"Aug 4, 2015",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/1804396222/C5CD472B9E4844A9PQ/58?accountid=14649,Volkers helps Brazil out,"Jul 16, 2016",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/1429411341/C5CD472B9E4844A9PQ/59?accountid=14649,Wrong said Fred with Brazil striker in doubt,"Sep 4, 2013",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/1628659498/C5CD472B9E4844A9PQ/60?accountid=14649,Volkers will return to Australia if new abuse charges laid [Advertiser2 Edition],"Nov 30, 2014",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/1804395823/C5CD472B9E4844A9PQ/61?accountid=14649,Volkers helps Brazil out,"Jul 16, 2016",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/1430192712/C5CD472B9E4844A9PQ/62?accountid=14649,Socceroos earn respect of a world powerhouse,"Sep 6, 2013",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/360614035/C5CD472B9E4844A9PQ/63?accountid=14649,Grateful White `always a Demon': [3 THIRD Edition],"Nov 16, 2003",Nationwide News Pty Ltd,Newspaper
Michael Place,https://www.proquest.com/anznews/docview/360633001/C5CD472B9E4844A9PQ/64?accountid=14649,`Roo' awakening for a young Lion: [1 FIRST Edition],"Sep 12, 2004",Nationwide News Pty Ltd,Newspaper
MICRO-X LTD,https://www.proquest.com/anznews/docview/2545735664/D22AA5C9612E49E8PQ/1?accountid=14649,Boost in bomb hunt,"Jun 29, 2021",Nationwide News Pty Ltd,Newspaper
MICRO-X LTD,https://www.proquest.com/anznews/docview/2533434650/D22AA5C9612E49E8PQ/2?accountid=14649,Media Release: Adelaide's X-ray technology to transform US airport security,"May 28, 2021",Australian Associated Press Pty Limited,Wire Feed
