tech,link,title,date_,publisher_,source_type_,business_index_term
renewable energy,https://www.proquest.com/anznews/docview/2584674663/5CA94ED5C6DB48ACPQ/722?accountid=14649,"If we’re serious about net zero, nuclear energy ban must end","Oct 22, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2543635369/5CA94ED5C6DB48ACPQ/723?accountid=14649,Japanese trading giant Itochu joins $1bn Australian hydrogen project,"Jun 21, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2627103338/5CA94ED5C6DB48ACPQ/724?accountid=14649,Scale will cut cost of green hydrogen: ANZ,"Feb 9, 2022",Nationwide News Pty Ltd,Newspaper,"['Capital costs;', 'Capital expenditures']"
renewable energy,https://www.proquest.com/anznews/docview/2555266138/5CA94ED5C6DB48ACPQ/725?accountid=14649,US funds circle for recapitalisation play for Centennial Coal,"Jul 26, 2021",Nationwide News Pty Ltd,Newspaper,['Refinancing']
renewable energy,https://www.proquest.com/anznews/docview/2563970971/5CA94ED5C6DB48ACPQ/726?accountid=14649,Rio Tinto and Sumitomo Corporation partnership means “thousands of jobs” for Queenslanders,"Aug 24, 2021",Nationwide News Pty Ltd,Newspaper,['Employment']
renewable energy,https://www.proquest.com/anznews/docview/2627049053/5CA94ED5C6DB48ACPQ/727?accountid=14649,Renewables power ahead of gas generation,"Feb 9, 2022",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2512139109/5CA94ED5C6DB48ACPQ/728?accountid=14649,ACCC urges energy customers to take advantage of savings,"Apr 13, 2021",Nationwide News Pty Ltd,Newspaper,"['Small business;', 'Retail stores;', 'Consumers;', 'Cost control']"
renewable energy,https://www.proquest.com/anznews/docview/2501440954/5CA94ED5C6DB48ACPQ/729?accountid=14649,Tilt boosts AGL’s renewables punch,"Mar 15, 2021",Nationwide News Pty Ltd,Newspaper,['Tender offers']
renewable energy,https://www.proquest.com/anznews/docview/2532084162/5CA94ED5C6DB48ACPQ/730?accountid=14649,Ambitious Hydrogen Industry Mission plan aims for global leadership,"May 25, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2461608626/5CA94ED5C6DB48ACPQ/731?accountid=14649,Hydrogen jobs in the pipeline but big challenges lay ahead,"Nov 15, 2020",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2551494390/5CA94ED5C6DB48ACPQ/732?accountid=14649,Andrew Bolt:Big energy pledge takes common sense off the grid,"Jul 14, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2568478611/5CA94ED5C6DB48ACPQ/733?accountid=14649,Dutch fund DIF Capital Partners eyes Evolution Healthcare,"Sep 2, 2021",Nationwide News Pty Ltd,Newspaper,"['Infrastructure;', 'Private equity']"
renewable energy,https://www.proquest.com/anznews/docview/2484146897/5CA94ED5C6DB48ACPQ/734?accountid=14649,Flinders Uni’s power will be 100 per cent renewable in deal with Simply Energy,"Jan 31, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2474494252/5CA94ED5C6DB48ACPQ/735?accountid=14649,State runs on 60pc renewable energy,"Jan 2, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2619816485/5CA94ED5C6DB48ACPQ/736?accountid=14649,South Australia breaks renewables record,"Jan 17, 2022",Fairfax Digital,Newspaper,['Energy policy']
renewable energy,https://www.proquest.com/anznews/docview/2528405261/5CA94ED5C6DB48ACPQ/737?accountid=14649,A big chunk of government land is up for grabs at Port Bonython with a hydrogen hub a possibility,"May 17, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2551858488/5CA94ED5C6DB48ACPQ/738?accountid=14649,Investment bankers to rival Spark bid,"Jul 15, 2021",Nationwide News Pty Ltd,Newspaper,"['Infrastructure;', 'Tender offers;', 'Earnings per share']"
renewable energy,https://www.proquest.com/anznews/docview/2503415860/5CA94ED5C6DB48ACPQ/739?accountid=14649,Gas offers sensible ‘compromise’ path to zero emissions,"Mar 21, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2637233692/5CA94ED5C6DB48ACPQ/740?accountid=14649,"Marshall backs ScoMo, lower taxes","Mar 8, 2022",Nationwide News Pty Ltd,Newspaper,['Economic reform']
renewable energy,https://www.proquest.com/anznews/docview/2595504128/5CA94ED5C6DB48ACPQ/741?accountid=14649,Why nuclear power for Australia is just a grand fantasy,"Nov 9, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2632739010/5CA94ED5C6DB48ACPQ/742?accountid=14649,Solar plan set to shine,"Feb 24, 2022",Nationwide News Pty Ltd,Newspaper,"['Energy industry;', 'Product development']"
renewable energy,https://www.proquest.com/anznews/docview/2555583423/5CA94ED5C6DB48ACPQ/743?accountid=14649,Power plays at the top of TransGrid as Paul Italiano departs,"Jul 27, 2021",Nationwide News Pty Ltd,Newspaper,"['Infrastructure;', 'Private equity;', 'Stockholders;', 'Tender offers']"
renewable energy,https://www.proquest.com/anznews/docview/2486330756/5CA94ED5C6DB48ACPQ/744?accountid=14649,SA-NSW interconnector on shaky ground with funding plan set to be rejected,"Feb 4, 2021",Nationwide News Pty Ltd,Newspaper,['Energy industry']
renewable energy,https://www.proquest.com/anznews/docview/2575319842/5CA94ED5C6DB48ACPQ/745?accountid=14649,Diplomats need to understand China’s long history of humiliation,"Sep 22, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2535038390/5CA94ED5C6DB48ACPQ/746?accountid=14649,Bid to lift NSW nuclear ban under bold proposal to reboot economy,"May 31, 2021",Nationwide News Pty Ltd,Newspaper,['Productivity']
renewable energy,https://www.proquest.com/anznews/docview/2541391914/5CA94ED5C6DB48ACPQ/747?accountid=14649,"ALDI Australia moves to 100 per cent renewable electricity, hoping to get prices lower for shoppers","Jun 15, 2021",Nationwide News Pty Ltd,Newspaper,['Energy industry']
renewable energy,https://www.proquest.com/anznews/docview/2496904619/5CA94ED5C6DB48ACPQ/748?accountid=14649,Small business commissioner asks Sanjeev Gupta for assurances on Whyalla steelworks operations,"Mar 4, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2511807091/5CA94ED5C6DB48ACPQ/749?accountid=14649,"Australian sharemarket pulls back, loses momentum after last week’s charge to 13-month highs","Apr 12, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2560589227/5CA94ED5C6DB48ACPQ/751?accountid=14649,AGL Energy backs controversial plan to pay generators for ‘capacity’,"Aug 12, 2021",Nationwide News Pty Ltd,Newspaper,['Market entry']
renewable energy,https://www.proquest.com/anznews/docview/2537377087/5CA94ED5C6DB48ACPQ/752?accountid=14649,Denham Capital taps JPMorgan for $1bn sale of renewable energy assets in Australia and Asia - DATA ROOM,"Jun 7, 2021",Nationwide News Pty Ltd,Newspaper,['Infrastructure']
renewable energy,https://www.proquest.com/anznews/docview/2629081854/5CA94ED5C6DB48ACPQ/753?accountid=14649,Work starts on $2.2 billion power line from South Australia to city,"Feb 17, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2629409067/5CA94ED5C6DB48ACPQ/754?accountid=14649,Work starts on $2.2 billion power line from South Australia to city,"Feb 18, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2629083031/5CA94ED5C6DB48ACPQ/755?accountid=14649,Work starts on $2.2 billion power line from South Australia to city,"Feb 17, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2580771631/5CA94ED5C6DB48ACPQ/756?accountid=14649,Renewable energy,"Oct 12, 2021",Nationwide News Pty Ltd,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2469281457/5CA94ED5C6DB48ACPQ/757?accountid=14649,Australia's first grid scale flow battery to be built near Hawker in South Australia,"Dec 12, 2020",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2530013388/5CA94ED5C6DB48ACPQ/758?accountid=14649,War on renewable energy,"May 22, 2021",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2530012940/5CA94ED5C6DB48ACPQ/759?accountid=14649,War on renewable energy,"May 22, 2021",Fairfax Media Publications Pty Limited,Newspaper,
