company,link,title,date_,publisher_,source_type_
Global Centre for Modern Ageing,https://www.proquest.com/anznews/docview/2316805136/1B59CB429BC44ADCPQ/23?accountid=14649,Experience for the future,"Nov 24, 2019",Nationwide News Pty Ltd,Newspaper
Global Centre for Modern Ageing,https://www.proquest.com/anznews/docview/2407935954/1B59CB429BC44ADCPQ/24?accountid=14649,LET’S GET PHYSICAL,"Jun 1, 2020",Nationwide News Pty Ltd,Newspaper
Global Centre for Modern Ageing,https://www.proquest.com/anznews/docview/2117443572/1B59CB429BC44ADCPQ/25?accountid=14649,Hi-tech gives lowdown on aged-care solutions,"Oct 11, 2018",Nationwide News Pty Ltd,Newspaper
Good Empire,https://www.proquest.com/anznews/docview/2497358769/66F78F01B3A54505PQ/1?accountid=14649,Off the Record: Flinders Uni rumoured as key anchor tenant for Walker Corp’s Festival Plaza office tower,"Mar 5, 2021",Nationwide News Pty Ltd,Newspaper
Good Empire,https://www.proquest.com/anznews/docview/2319214307/66F78F01B3A54505PQ/2?accountid=14649,Stone & Chalk’s ambitious job creation plan,"Nov 29, 2019",Nationwide News Pty Ltd,Newspaper
GP InnoVentures,https://www.proquest.com/anznews/docview/2212010120/CEC3EBBE0CF243B2PQ/1?accountid=14649,Journey to find state's digital 'rough diamonds',"Apr 23, 2019",Nationwide News Pty Ltd,Newspaper
Infravision,https://www.proquest.com/anznews/docview/2646839839/48A7F907A92D460APQ/1?accountid=14649,Ingham Influential: Top 30 movers and shakers aged under 30,"Apr 4, 2022",Nationwide News Pty Ltd,Newspaper
Infravision,https://www.proquest.com/anznews/docview/357528074/48A7F907A92D460APQ/2?accountid=14649,"IT diary - CONFERENCES, EXHIBITIONS, COURSES AND EVENTS: [5 IT Broadsheet Edition]","Oct 3, 2006",Nationwide News Pty Ltd,Newspaper
Infravision,https://www.proquest.com/anznews/docview/356751804/48A7F907A92D460APQ/3?accountid=14649,"IT diary - conferences, exhibitions, courses and events","Nov 11, 2008",Nationwide News Pty Ltd,Newspaper
Infravision,https://www.proquest.com/anznews/docview/356757672/48A7F907A92D460APQ/4?accountid=14649,IT DIARY,"Nov 4, 2008",Nationwide News Pty Ltd,Newspaper
IO Energy,https://www.proquest.com/anznews/docview/2673434440/A0B10D0FBA554864PQ/1?accountid=14649,iO Energy powering up to take on the top level,"Jun 7, 2022",Nationwide News Pty Ltd,Newspaper
IO Energy,https://www.proquest.com/anznews/docview/2645654633/A0B10D0FBA554864PQ/2?accountid=14649,Cheap and green renewable machine,"Apr 1, 2022",Nationwide News Pty Ltd,Newspaper
IO Energy,https://www.proquest.com/anznews/docview/2645823476/A0B10D0FBA554864PQ/3?accountid=14649,Lot Fourteen: cheap and green renewable machine,"Mar 31, 2022",Nationwide News Pty Ltd,Newspaper
IO Energy,https://www.proquest.com/anznews/docview/2536678197/A0B10D0FBA554864PQ/4?accountid=14649,"Why SA innovators Fivecast, Cryoclock, Lumary, IO Energy, Ping and Myriota are drawing investors","Jun 3, 2021",Nationwide News Pty Ltd,Newspaper
IO Energy,https://www.proquest.com/anznews/docview/2569018194/A0B10D0FBA554864PQ/5?accountid=14649,SA’s best solar and electricity rates revealed in ESCOSA report,"Sep 3, 2021",Nationwide News Pty Ltd,Newspaper
IO Energy,https://www.proquest.com/anznews/docview/2440532900/A0B10D0FBA554864PQ/6?accountid=14649,Cheaper electricity for power use during the day,"Sep 8, 2020",Nationwide News Pty Ltd,Newspaper
