LGA_Name,Beach_FID,Beach_Name,Width_B,Length_B,Patrolled_B,Width_S,Length_S,Patrolled_S,Close_S
Bega Valley,912,Mowarry Point (1),20,30,No,20,30,No,No
Bega Valley,913,Saltwater North,30,50,No,30,50,No,No
Bega Valley,914,Saltwater Creek,30,500,No,30,500,No,No
Bega Valley,915,Bittangabee Bay,20,50,No,20,50,No,No
Bega Valley,916,Disaster Bay,80,2700,No,80,2700,No,No
Bega Valley,917,Wonboyn Bay,80,4200,No,80,4200,No,No
Bega Valley,918,Merrica,30,150,No,30,150,No,No
Bega Valley,919,1568,10,30,No,10,30,No,No
Bega Valley,920,Jane Spiers North,30,250,No,30,250,No,No
Bega Valley,921,Jane Spiers,60,2300,No,60,2300,No,No
Bega Valley,922,Newtons,60,1900,No,60,1900,No,No
Bega Valley,923,Little Creek,40,250,No,40,250,No,No
Bega Valley,924,Nadgee,50,500,No,50,500,No,No
Bega Valley,925,Nadgee Lake,60,1200,No,60,1200,No,No
Bega Valley,926,Cape Howe,40,600,No,40,600,No,No
