Beach_FID,Beach_Name,total_visit_base1,% total,international_visit_beach_base,% international,interstate_visit_beach_base,% interstate,domestic_visit_beach,% domestic
1,Duranbah / Flagstaff,178799.6268,0.130980958625415,1864.6465940798441,0.04984684444958847,2283.957817352335,0.09041390153750165,174651.0223885678,0.1340980937875512
10,Salt,94493.90228,0.06922219093183637,985.4479911460061,0.026343583220419634,1207.0499847627966,0.047782887076127975,92301.4043040912,0.07086956721933793
100,Diggers Camp Nth / Where Ever  ,33145.37995499852,0.024280887595842127,345.663024854646,0.00924047006366182,423.39377890319025,0.016760678829751963,32376.323151240686,0.02485873348494826
101,Diggers Camp,35342.83474287532,0.025890648979595254,368.5796084023414,0.009853089837856446,451.4637146791955,0.017871869408725875,34522.791419793786,0.026506804588408785
102,Stony ,24360.6170607865,0.0178455460586479,254.04942082395092,0.006791400580960314,311.1786236206506,0.012318473319804119,23795.3890163419,0.018270241218087197
103,Wilsons / Bare ,23488.16770149199,0.01720642697614362,244.95091343089393,0.0065481738568265915,300.03409513327523,0.011877300416485125,22943.18269292782,0.017615912134176806
104,Wooli,26360.00834,0.019310214587915098,274.9004606484831,0.0073488030088764335,336.71852783540425,0.013329508798395768,25748.389351516114,0.019769766491581693
105,Jones,46677.947267612326,0.03419426756755643,486.7900283066547,0.0130131612594325,596.256627979848,0.023603714413494487,45594.90061132582,0.035008035880881645
106,Barcoongere Rocks North,24447.949368622598,0.017909521971819897,254.96018273813434,0.006815747611443756,312.29419254414006,0.012362634791631823,23880.694993340323,0.01833573965461351
107,Barcoongere Rocks South,27283.23950306367,0.01998653424772177,284.52855593349483,0.0076061869922765864,348.51173495692166,0.013796360619999158,26650.19921217325,0.020462181466421574
108,Freshwater ,20722.776855362063,0.01518061992898906,216.11149852370485,0.005777221423555883,264.7094350425804,0.010478920676272482,20241.95592179578,0.015541894152817313
109,Pebbly  (Coffs Harbour,30462.793631980276,0.022315739600441743,317.6871529802808,0.008492602377586297,389.1268505385511,0.015404170989014043,29755.979628461442,0.022846818142755253
11,Casuarina ,64862.72766,0.0475156598479322,676.4335383609838,0.01808282463509055,828.5461023895856,0.03279924224151134,63357.748019249426,0.04864645577138907
110,Station Creek,41854.738707426506,0.030660991284099187,436.49026216482014,0.011668517922360906,534.645733746387,0.021164754603230078,40883.6027115153,0.03139067333132672
111,Little  (Coffs Harbour),37953.17113719225,0.027802869767644692,395.80200787921484,0.01058081525058426,484.80773401760325,0.019191842509114477,37072.56139529543,0.028464533141241366
112,Red Rock,23313.77759,0.017078676239820418,243.13225232262087,0.006499556323799998,297.80646375876034,0.011789116281810202,22772.83887391862,0.017485121136762517
113,Corindi North,37523.6362820937,0.027488210905706637,391.3225203157762,0.010461066918381515,479.3209245220507,0.01897463891204411,36652.99283725587,0.028142385906848887
114,Corindi,96769.87257255492,0.07088946941589756,1009.1833888657367,0.02697809202323563,1236.1228650298035,0.0489337807195666,94524.56631865937,0.07257652423715154
115,Arrawarra Beach,38591.63983844527,0.02827058462834732,402.4604025891193,0.010758811427684166,492.9634310258127,0.019514698028015767,37696.21600483034,0.028943378859844642
116,Oceanview,49235.70052317319,0.0360679681973423,513.4640543202132,0.013726227225800384,628.9289587192782,0.02489709771157132,48093.3075101337,0.03692632755792902
117,Mullaway,69285.00035845551,0.05075522766870074,722.5520670897357,0.019315692640794552,885.0355060917466,0.035035460154747636,67677.41278527402,0.05196312007144909
118,Cabins/South Mullaway,38986.87648773967,0.028560118091783375,406.5822046596937,0.010868997898040657,498.01212072956525,0.019714557994912025,38082.282162350406,0.029239802751851098
119,Mullaway Head,41292.942534592956,0.030249443438128923,430.63146179152284,0.011511896977782902,527.4694393454084,0.02088067020795593,40334.841633456024,0.03096933131164572
12,Cotton,46522.229113836285,0.034080195108782345,485.1660913316678,0.01296974920803085,594.2675092049066,0.02352497215840659,45442.795513299716,0.034891248681919305
120,Safety  (Darkhum),66051.01434394388,0.048386147844861206,688.8258165645815,0.01841410240426782,843.7250863148972,0.033400125124564486,64518.46344106441,0.049537659976016675
121,Woolgoolga ,202519.0398,0.14835678601596822,2112.0090939663282,0.056459486273326434,2586.945802919859,0.10240813614464724,197820.0849031138,0.15188743779226513
122,Woolgoolga Back ,51485.309910922915,0.03771593581010352,536.9245422303446,0.014353386975685781,657.66510900715,0.02603466139289464,50290.72025968542,0.038613514136910276
123,Hearnes Lake,56970.52039138172,0.04173416638390842,594.1281238219287,0.01588258722339392,727.7323098222863,0.0288083768036512,55648.6599577375,0.042727372105281734
124,Sandy,62138.56498813771,0.04552005479775379,648.0240794671425,0.017323366042307126,793.7480843987585,0.03142171042003046,60696.79282427181,0.04660335854573013
125,Fiddamans,51140.31596117803,0.037463207999278166,533.326705898787,0.01425720746985147,653.2582115065165,0.025860207734564808,49953.73104377273,0.03835477181257212
126,Emerald,101103.65963892793,0.07406421644748346,1054.3791280146675,0.0281862914677275,1291.481967429129,0.051125253957605366,98757.79854348412,0.07582682511799077
127,Shelly,70307.81878283132,0.05150450069640306,733.2187274486394,0.01960084016493933,898.10082495115455,0.035552670430671195,68676.49923043154,0.05273022458645463
128,Moonee,44941.37470576515,0.032922128788834236,468.679844461341,0.012529029027642873,574.0739279987831,0.022725578908238554,43898.62093330503,0.033705622254884805
129,Sapphire,33323.87882664568,0.02441164823410706,347.5245349652679,0.009290233061765648,425.673894922353,0.016850940647936345,32550.68039675806,0.024992606015106764
13,Cabarita,122438.545,0.0896932408854503,1276.874118835362,0.034134160213185265,1564.010378560789,0.061913700549317746,119597.66050260385,0.0918277950825192
