LGA_FID,LGA_Name,Beach_ID,Beach_Name,Driving_d
8888,CBD,149,Hungry Head,498424.5
8888,CBD,150,Schnapper,499720.2
8888,CBD,151,Wenonah Head / Valla,492219.8
8888,CBD,152,Valla Head / Walla ,490486
8888,CBD,153,South Valla,490840.4
8888,CBD,154,Hyland,489711.8
8888,CBD,155,Nambucca North,489464.4
8888,CBD,156,Nambucca Main,489192.2
8888,CBD,157,Beilbys,489407.8
8888,CBD,158,Shelly,489348.6
8888,CBD,159,V Wall,488946.4
8888,CBD,160,Entrance / Wellington,489445.5
8888,CBD,161,Forster - Scotts Head,481203.5
8888,CBD,162,Little,480939.8
8888,CBD,163,Scotts Head  / Wakki,480329.1
8888,CBD,164,Middle Head ,468751.9
8888,CBD,165,Grassy Head ,467530.9
8888,CBD,166,Stuarts Point ,465950.2
8888,CBD,167,Back ,455739
8888,CBD,168,Trial Bay Goal,458240.6
8888,CBD,169,Horseshoe Bay,455594.1
8888,CBD,170,Front  (South West Rocks),455790.5
8888,CBD,171,Little Bay,457698.2
8888,CBD,172,Gap ,455726.3
8888,CBD,173,Cobble ,458072
8888,CBD,174,North Smoky 1,458072
8888,CBD,175,North Smoky 2,458072
8888,CBD,176,North Smoky 3,458076.9
8888,CBD,177,South Smoky 1,454240.2
8888,CBD,178,South Smoky 2,448933
8888,CBD,179,Hat Head,455553
8888,CBD,180,Gap ,456404.4
8888,CBD,181,Connors ,456683.3
8888,CBD,182,Third ,459289
8888,CBD,183,Killick / Crescent Head / Front ,439703.8
8888,CBD,184,Killick  North,437815.9
8888,CBD,185,Killick  South,437787.4
8888,CBD,186,Pebbly  / Shelly ,437947.3
8888,CBD,187,Goolawah  / Back ,440547
8888,CBD,188,Racecourse / Sunset ,445842.2
8888,CBD,189,Delicate Nobby,447311.3
8888,CBD,190,Big Hill (2)   (The Rock),450045.2
8888,CBD,191,Barries,451791.1
8888,CBD,192,Point Plomer  (Fingers),453743.9
8888,CBD,193,Queens Head,453642.8
8888,CBD,194,North Shore ,396302.5
8888,CBD,195,Pelican Point / North Breakwall  / Pilot ,392745.9
8888,CBD,196,Town,388321.2
8888,CBD,197,Oxley ,388485.9
8888,CBD,198,Rocky ,388933
8888,CBD,199,Flynns ,389550
8888,CBD,200,Nobbys / The Dog ,388667.2
8888,CBD,201,Shelly,389726.8
8888,CBD,202,Pandanus Cove,389680.8
8888,CBD,203,Miners North,389493.5
8888,CBD,204,Miners South,391194.3
8888,CBD,205,Tacking Point North / Little Bay,391897.8
8888,CBD,206,Tacking Point - Lighthouse,392047.4
8888,CBD,207,Lighthouse ,384537.9
8888,CBD,208,Lake Cathie,378955.8
8888,CBD,209,Middle Rock ,377884.4
8888,CBD,210,Rainbow / Bonny Hills,371071.2
8888,CBD,211,Boat Ramp,370732.5
8888,CBD,212,Bartletts - Sponys Bay,370372.1
8888,CBD,213,Shark,369134.8
8888,CBD,214,North Haven / Grants ,366092.1
8888,CBD,215,Pilot ,369231.9
8888,CBD,216,Wash House,368862
8888,CBD,217,Pebbly  (Port Macquarie-Hastings),368489.4
8888,CBD,218,Dunbogan ,366824.6
8888,CBD,219,Kylie ,349811.3
8888,CBD,220,Crowdy Head ,344547.1
8888,CBD,221,Harrington ,342046.3
8888,CBD,222,Manning Point ,333140.5
8888,CBD,223,Old Bar,319442.2
8888,CBD,224,Saltwater / Wallabi,321300
8888,CBD,225,Saltwater / Badges,322355.2
8888,CBD,226,"Diamond (Back Saltwater, Back)",306874.9
8888,CBD,227,Diamond South ,304577.4
8888,CBD,228,Shelly,304532.9
8888,CBD,229,Black Head ,303832.5
8888,CBD,230,Pebbly,304180.6
8888,CBD,231,Diamond Reef ,304655.7
8888,CBD,232,Nine Mile ,300948.4
8888,CBD,233,Tuncurry ,300948.4
8888,CBD,234,Tuncurry Rock Pool,306035.6
8888,CBD,235,Forster Main ,307120.7
8888,CBD,236,Pebbly,307543.1
8888,CBD,237,One Mile ,310563.7
8888,CBD,238,Burgess ,311473.7
8888,CBD,239,McBrides ,314742.4
8888,CBD,240,Cape Hawke North ,315158.4
8888,CBD,241,Cape Hawke South ,315526.6
8888,CBD,242,Janies Corner,315526.6
8888,CBD,243,Seven Mile ,318769.9
8888,CBD,244,Lindeman Cove,283985.1
8888,CBD,245,Shelly,284022.7
8888,CBD,246,Elizabeth ,283481.7
8888,CBD,247,Boomerang ,283802.6
8888,CBD,248,Blueys ,283127.8
8888,CBD,249,Sandbar / Cellito ,280327.9
8888,CBD,250,Number Six ,278131.1
8888,CBD,251,Number Five ,278131.1
8888,CBD,252,Number Four ,277588.2
8888,CBD,253,Number Three ,277588.2
8888,CBD,254,Number Two ,276810.5
8888,CBD,255,Number One ,277981.3
8888,CBD,256,Boat ,279189.1
8888,CBD,257,Lighthouse ,279467.2
8888,CBD,258,Treachery ,281774.5
8888,CBD,259,Submarine / Fiona / Yagon ,283099.2
