,,,,International Visitors,,,,Domestic Overnight Interstate Visitors,,,
,,,,Total,,Went to the beach,,Total,,Went to the beach,
FID,LGA_CODE21,LGA_NAME21,Population,Visitors (000),Visitor nights (000),Visitors (000),Visitor nights (000),Visitors (000),Visitor nights (000),Visitors (000),Visitor nights (000)
62,14500,Ku-ring-gai,124076,33.63056556,1045.424957,24.4062676,874.2878365,64.30872638,219.0245993,NP,0
63,14550,Kyogle,9359,2.262265558,51.43318538,1.609129489,29.38771757,40.28066811,133.3691964,NP,0
64,14600,Lachlan,6094,0,0,NP,0,17.48130976,57.18268348,NP,0
65,14650,Lake Macquarie,213845,10.57926088,173.7572118,8.3164831,125.9884036,30.97828988,104.3052577,NP,0
66,14700,Lane Cove,39438,13.48641737,389.1429645,9.592722164,329.2030966,17.14488784,68.6345978,NP,0
67,14750,Leeton,11452,0,0,NP,0,0,0,NP,0
68,14850,Lismore,44334,11.91802416,143.8189424,10.7188915,132.7497423,98.16446602,237.4792391,NP,0
69,14870,Lithgow,20842,4.465818689,56.44106671,2.627903654,25.62336544,17.15855114,56.55806023,NP,0
70,14900,Liverpool,233446,40.7886083,859.6600278,20.39042132,527.5804674,74.81935038,288.8159589,NP,0
71,14920,Liverpool Plains,7551,0,0,NP,0,0,0,NP,0
72,14950,Lockhart,3319,2.581283753,11.10742061,NP,0,0,0,NP,0
73,15050,Maitland,90226,4.827656601,170.3725407,3.012167906,60.48253609,18.87099051,91.17885003,NP,0
74,15240,Mid-Coast,96579,26.06134963,255.4387092,22.78012931,198.2266332,125.4617902,472.6487985,36.25549688,207.939141
75,15270,Mid-Western Regional,25713,4.396208686,55.51964567,2.8788963,36.3230714,50.40270165,111.221254,NP,0
76,15300,Moree Plains,12751,3.551517575,115.0304299,2.751001318,90.48824174,70.27036118,172.6712722,NP,0
77,15350,Mosman,28329,12.51987014,222.4846146,9.37789266,190.4700718,24.46937765,76.74477517,NP,0
78,15520,Murray River,12850,0,0,NP,0,157.3802414,484.0668754,NP,0
79,15560,Murrumbidgee,3353,0,0,NP,0,17.92060122,39.92459248,NP,0
80,15650,Muswellbrook,16357,1.828996146,50.11951691,NP,0,21.92804886,55.91739873,NP,0
81,15700,Nambucca Valley,20407,5.243208617,48.47242479,4.826040632,46.38486932,35.42765468,120.2668872,NP,0
82,15750,Narrabri,12703,2.563765942,41.69857919,1.7381794,35.96528097,54.00962183,176.3480782,NP,0
83,15800,Narrandera,5698,0,0,NP,0,34.8706452,72.62016793,NP,0
84,15850,Narromine,6360,0,0,NP,0,0,0,NP,0
85,15900,Newcastle,168873,98.18265228,1906.068065,80.30968006,1580.890446,313.224112,1036.318435,91.69413637,402.2101074
86,15950,North Sydney,68950,65.71955589,1665.316704,44.66311328,1368.337297,109.7742536,269.2492631,21.05935768,74.47038984
87,15990,Northern Beaches,263554,103.6701978,2643.650366,91.11214921,2497.610592,185.1205524,782.8892278,85.46228672,447.7121525
88,16100,Oberon,5580,3.338545298,47.48673664,2.376859849,40.45539109,0,0,NP,0
89,16150,Orange,43512,7.574011479,107.7941671,4.325241701,55.95954529,48.98654721,197.4866143,NP,0
90,16200,Parkes,14361,1.215967196,23.2815655,NP,0,54.15803932,114.5560635,NP,0
91,16260,Parramatta,256729,135.1815364,3544.834247,84.15419232,2755.425613,186.2703429,579.4018511,NP,0
92,16350,Penrith,217664,25.89474457,631.0642545,15.04810214,471.6073107,96.83126588,398.150994,NP,0
93,16380,Port Macquarie-Hastings,86762,67.0057671,333.7536401,62.68757618,307.6814924,164.4147528,574.5290189,75.39569196,296.889973
94,16400,Port Stephens,75276,37.01147741,141.0605017,34.03012213,127.4874017,79.56521361,348.1852418,38.70074404,211.485818
95,16490,Queanbeyan-Palerang Regional,63304,4.150652929,55.41449523,2.179650304,26.56812252,70.11808212,234.4269346,NP,0
96,16550,Randwick,134252,105.1092844,4688.561476,86.84427964,4206.330501,120.7444334,449.1389183,37.97227563,184.9935185
97,16610,Richmond Valley,23565,3.288356909,39.10954638,2.770514301,27.65056453,76.05172272,285.465013,28.20351347,166.478923
98,16700,Ryde,129123,79.712621,3102.089509,50.12777797,2257.744592,61.92735761,197.4457676,NP,0
99,16900,Shellharbour,76271,4.139696463,93.23350921,3.149578232,74.01695117,0,0,NP,0
100,16950,Shoalhaven,108531,30.53377881,199.6878118,26.02148081,165.6556545,210.9167797,772.8831253,111.4545546,431.119804
101,17000,Singleton,24577,5.441232574,107.8644833,3.795610314,84.07084765,32.64852862,201.6630362,NP,0
102,17040,Snowy Monaro Regional,21666,14.08908172,213.2883776,10.29030587,124.0003101,212.1525492,697.1967768,NP,0
103,17080,Snowy Valleys,14891,4.224988055,103.6839729,2.810439419,75.48933398,56.04522619,176.2318849,NP,0
104,17100,Strathfield,45593,32.07944604,1835.473893,22.7600431,1533.638493,55.911148,156.1395706,NP,0
105,17150,Sutherland Shire,230211,34.24597382,666.9521014,25.39054534,573.6272503,85.58375914,333.0262449,32.26913717,123.6257496
106,17200,Sydney,211632,2327.195837,26522.35091,1690.216697,21587.14757,2964.998582,8076.753055,425.157764,1702.612702
107,17310,Tamworth Regional,63070,12.64111465,338.9004634,7.805827051,223.706492,115.2645039,292.4189442,NP,0
108,17350,Temora,6034,0,0,NP,0,0,0,NP,0
109,17400,Tenterfield,6810,2.903791428,28.81311502,2.556013238,28.17488624,68.08842333,169.5741468,NP,0
110,17420,The Hills Shire,191876,35.16026469,1160.441748,19.42894324,844.9177261,64.10871729,191.9194003,NP,0
111,17550,Tweed,97392,24.09802715,240.8664807,21.22656985,214.8120882,414.3656892,1379.078311,223.4130886,826.9063703
112,17620,Upper Hunter Shire,14229,3.622757071,99.36182549,2.183169753,86.96572029,20.10461476,57.66273374,NP,0
113,17640,Upper Lachlan Shire,8514,0,0,NP,0,0,0,NP,0
114,17650,Uralla,5971,1.274439358,52.74615747,NP,0,0,0,NP,0
115,17750,Wagga Wagga,67609,11.84164995,234.6106047,6.990444461,148.1061742,170.7132959,482.7723958,NP,0
116,17850,Walcha,3016,0,0,NP,0,0,0,NP,0
117,17900,Walgett,5253,2.210344551,70.99170024,1.500787172,32.38295224,30.19208589,145.6255213,NP,0
118,17950,Warren,2550,0,0,NP,0,0,0,NP,0
119,18020,Warrumbungle Shire,9225,2.049901219,25.67435805,NP,0,64.21249044,119.1667542,NP,0
120,18050,Waverley,68605,96.21198784,2707.542676,88.66129662,2591.262532,90.93247633,326.906638,49.77350952,223.1811289
121,18100,Weddin,3608,0,0,NP,0,0,0,NP,0
122,18200,Wentworth,7453,1.847300603,47.45521795,NP,0,33.78578206,98.73424586,NP,0
123,18250,Willoughby,75613,53.66424855,2122.7367,35.58974171,1738.232997,58.47063649,186.8680247,NP,0
124,18350,Wingecarribee,52709,12.1882286,159.7644359,7.506522024,111.5761487,89.27206322,224.6474676,NP,0
125,18400,Wollondilly,53961,3.216322422,62.54163424,1.767310854,35.93583254,19.56762237,91.74559233,NP,0
126,18450,Wollongong,214564,64.54397549,1762.414969,53.93762556,1546.181832,160.8752983,496.4002575,54.56579124,181.9330586
127,18500,Woollahra,53496,30.87128796,783.3870796,24.57176438,692.2009324,68.24655927,201.8213817,19.43242221,78.23683425
128,18710,Yass Valley,17281,3.702226024,49.88845495,1.80118454,22.39650325,56.79635397,145.3938326,NP,0
129,19399,Unincorporated NSW,1016,,,,,,,,
