ID,Column1,Beach,LGA,New Count,CONF,Patrolled,Iconic,Main,National_Park,Open_Coast,Surf,Bay,Length (m),Mean Width (m),Latitude,Longitude,Changing room,Restaurant,Park
570,OEH522,Maloneys,Shellharbour,,,0,0,0,0,0,0,1,40,40,-34.59851,150.88713,0,0,0
571,OEH523,Killalea / The Farm,Shellharbour,,,0,1,0,0,0,0,0,600,120,-34.60409,150.86795,0,0,0
572,,Minnamurra / Mystics,Shellharbour,,,0,0,0,0,0,1,0,1650,100,-34.621,150.85673,0,0,0
573,OEH525,Jones / Boyds,Kiama,34877.62477,B,1,0,0,0,0,1,0,1000,80,-34.637015,150.854971,1,0,1
574,,The Boneyard  / Cathederal Rocks,Kiama,,,0,0,0,0,0,0,1,50,20,-34.64952,150.86042,0,0,0
575,OEH527,Kiama / Bombo,Kiama,113459.8779,B,1,0,1,0,0,0,0,1200,80,-34.653731,150.857045,0,0,0
576,OEH529,Black,Kiama,,,1,0,0,0,0,0,1,250,30,-34.670506,150.856049,1,0,1
577,OEH530,Surf,Kiama,,,1,0,1,0,0,0,0,250,50,-34.676364,150.854983,1,1,1
578,,Kendalls,Kiama,,,1,0,0,0,0,1,0,350,70,-34.68121,150.85554,0,0,1
579,,Easts,Kiama,,,1,0,0,0,0,1,0,250,80,-34.689817,150.85308,0,0,1
580,OEH531,Loves Bay,Kiama,,,0,0,0,0,1,0,0,70,20,-34.697669,150.852218,0,0,0
581,OEH533,Werri ,Kiama,,,1,0,0,0,0,1,0,850,80,-34.734,150.835017,1,1,1
582,OEH532,Gerringong Harbour / Boat Harbour ,Kiama,34488.35845,C,0,0,0,0,0,0,1,30,20,-34.75095,150.83187,0,0,0
583,OEH534,Walkers,Kiama,,,0,0,0,0,0,1,0,300,50,-34.76286,150.82737,0,0,0
584,OEH536,Gerroa / Seven Mile,Kiama,,,1,0,1,0,0,0,0,2000,200,-34.7725,150.81444,1,0,1
585,OEH535,Mid Seven Mile ,Shoalhaven,,,0,0,0,0,0,1,0,7700,120,-34.7925,150.78056,0,0,1
586,OEH537,Seven Mile Beach,Kiama,,,0,0,0,0,0,1,0,12000,35,-34.803645,150.771329,0,0,0
587,,Shoalhaven Heads,Shoalhaven,43095.45923,A,1,0,1,0,0,0,0,2700,100,-34.851036,150.74979,1,1,1
588,,Comerong Island,Shoalhaven,,,0,0,0,0,0,1,0,5500,120,-34.8837,150.74924,0,0,0
589,OEH539,Tilbury Cove,Shoalhaven,78054.49706,B,1,0,0,0,0,1,0,150,30,-34.93176,150.77768,0,0,0
590,OEH542,Crookhaven / Culburra,Shoalhaven,46699.58038,A,1,0,1,0,0,0,0,3700,120,-34.933864,150.779068,1,0,1
591,OEH541,Warrain North,Shoalhaven,37510.28534,B,1,0,1,0,0,0,0,3700,100,-34.933894,150.779074,1,1,1
592,OEH544,Warrain South,Shoalhaven,,,0,0,0,0,0,1,0,6000,100,-34.98131,150.78254,0,0,0
593,OEH543,Hare Bay,Shoalhaven,,,0,0,0,0,0,0,1,3000,70,-34.99303,150.76316,0,0,0
594,OEH545,Callala Bay,Shoalhaven,,,0,0,0,0,0,0,1,2600,70,-34.9932,150.73447,1,0,1
595,OEH546,Chinamans,Shoalhaven,,,0,0,0,0,0,0,1,1800,100,-34.998902,150.770219,0,0,0
596,,Wilson,Shoalhaven,,,0,0,0,0,1,0,0,50,20,-35.003872,150.834104,0,0,1
597,OEH548,Lobster Bay,Shoalhaven,,,0,0,0,0,1,0,0,20,20,-35.00635,150.83827,0,0,1
598,OEH549,Currarong,Shoalhaven,,,0,0,0,0,0,1,0,1200,100,-35.00905,150.8052,1,0,1
599,OEH550,Abrahams Bosom,Shoalhaven,,,0,0,0,0,0,0,1,400,30,-35.01074,150.82733,0,0,1
600,OEH552,Callala,Shoalhaven,,,0,0,0,0,0,0,1,5500,120,-35.01795,150.68663,1,0,1
601,OEH554,Cabbage Tree ,Shoalhaven,,,0,0,0,0,0,0,1,300,60,-35.02225,150.7737,0,0,0
602,,Long ,Shoalhaven,,,0,0,0,0,0,0,1,2000,120,-35.03144,150.78605,0,0,1
603,OEH553,Shark Net  / Tapalla Point,Shoalhaven,,,0,0,0,0,0,0,1,625,40,-35.04063,150.67388,0,0,1
604,,Figtree Inlet,Shoalhaven,,,0,0,0,0,0,0,1,40,15,-35.04336,150.78444,0,0,0
605,,Huskisson,Shoalhaven,,,0,0,0,0,0,0,1,200,30,-35.04663,150.67586,1,0,1
606,OEH559,Bindijine ,Shoalhaven,,,0,0,0,0,0,0,1,300,30,-35.05398,150.77965,1,0,1
607,OEH558,Honeymoon Bay,Shoalhaven,,,0,0,0,0,0,0,1,100,50,-35.05718,150.77741,1,0,1
608,OEH560,Collingwood,Shoalhaven,,,0,0,0,0,0,0,1,2000,100,-35.06005,150.67486,1,0,0
609,OEH561,Orion ,Shoalhaven,,,0,0,0,0,0,0,1,200,30,-35.07149,150.68738,0,0,0
610,OEH562,Barfleur ,Shoalhaven,,,0,0,0,0,0,0,1,60,20,-35.07221,150.69282,0,0,0
611,OEH563,Target,Shoalhaven,,,0,0,0,0,0,1,0,200,100,-35.07242,150.78278,0,0,0
612,OEH565,Target North 2 ,Shoalhaven,,,0,0,0,1,0,0,0,80,20,-35.07295,150.78633,0,0,0
613,,Target North 1,Shoalhaven,,,0,0,0,1,0,0,0,40,20,-35.07473,150.78874,0,0,0
614,,Nelson,Shoalhaven,,,0,0,0,0,0,0,1,1000,80,-35.07629,150.69378,1,0,1
615,OEH578,Bream Creek / Boat Harbour ,Shoalhaven,,,0,0,0,1,0,0,0,30,50,-35.07658,150.794,0,0,0
616,OEH579,Silica Cove,Shoalhaven,,,0,0,0,0,0,0,1,200,30,-35.07812,150.77708,0,0,0
617,,Blenheim ,Shoalhaven,,,0,0,0,0,0,0,1,100,50,-35.08284,150.69171,1,0,1
618,OEH580,Greenfield ,Shoalhaven,,,0,0,0,0,0,0,1,200,100,-35.08794,150.69234,1,0,1
619,OEH581,Chinamans ,Shoalhaven,,,0,0,0,0,0,0,1,600,60,-35.09503,150.69341,0,0,0
620,OEH582,Hyams Point,Shoalhaven,,,0,0,0,0,0,0,1,50,30,-35.10036,150.69337,0,0,1
621,OEH583,Hyams,Shoalhaven,,,0,1,0,0,0,0,0,2800,80,-35.11289,150.69549,0,0,1
622,OEH584,Hyams,Jervis Bay Territory,,,0,0,0,0,1,0,0,3055,35,-35.11308675,150.6954983,0,0,1
623,OEH585,Murrays,Jervis Bay Territory,,,0,0,0,0,0,1,0,500,20,-35.12546,150.758233,0,0,0
624,OEH586,Captains,Jervis Bay Territory,,,0,0,0,0,0,1,0,85,30,-35.125795,150.710722,0,0,0
625,,Bristol Point,Jervis Bay Territory,,,0,0,0,0,0,1,0,90,20,-35.135542,150.727644,0,0,0
626,OEH589,The Wall / Hole in the Wall,Jervis Bay Territory,,,0,0,0,0,0,1,0,400,15,-35.135765,150.746968,0,0,0
627,OEH591,Greenpatch / Iluka,Jervis Bay Territory,,,0,0,0,0,0,1,0,85,25,-35.136567,150.724715,0,0,0
628,OEH593,Scottish Rocks,Jervis Bay Territory,,,0,0,0,0,0,1,0,1000,15,-35.137634,150.737432,0,0,0
629,OEH594,Cave  ,Jervis Bay Territory,,,0,0,0,0,0,0,1,900,35,-35.163068,150.671427,0,0,0
630,OEH595,Bherwerre,Shoalhaven,,,0,0,0,0,0,1,0,7000,30,-35.164491,150.649628,0,0,0
631,OEH596,Mary Cove,Jervis Bay Territory,,,0,0,0,0,0,0,1,600,40,-35.165349,150.686734,0,0,0
632,,Summercloud Bay,Jervis Bay Territory,,,0,0,0,0,0,0,1,300,15,-35.169501,150.690353,0,0,0
633,,Steamers,Jervis Bay Territory,,,0,0,0,0,0,0,1,600,30,-35.171822,150.727162,0,0,0
634,OEH599,Whiting South,Jervis Bay Territory,,,0,0,0,0,0,0,1,50,10,-35.176473,150.6919448,0,0,0
635,OEH600,Whiting ,Jervis Bay Territory,,,0,0,0,0,0,0,1,50,5,-35.17746,150.69571,0,0,0
636,,Whiting North,Jervis Bay Territory,,,0,0,0,0,0,0,1,70,5,-35.182521,150.696329,0,0,0
637,,Blackharbour,Jervis Bay Territory,,,0,0,0,0,0,0,1,30,10,-35.18384,150.695,0,0,0
638,OEH603,Kittys North,Jervis Bay Territory,,,0,0,0,0,1,0,0,30,10,-35.18717,150.6955,0,0,0
639,OEH604,Sussex Inlet,Shoalhaven,,,0,0,1,0,0,0,0,100,20,-35.187453,150.582083,0,0,0
640,,Kittys ,Jervis Bay Territory,,,0,0,0,0,0,1,0,50,20,-35.19011,150.69569,0,0,0
641,,Cudmirrah,Shoalhaven,48748.77794,B,1,0,1,0,0,0,0,3000,100,-35.19322,150.57268,1,1,0
642,,Berrara / Kirbys,Shoalhaven,,,0,0,0,0,0,1,0,600,40,-35.20478,150.55668,0,0,0
643,OEH609,Berrara Point,Shoalhaven,,,0,0,0,0,1,0,0,50,20,-35.20945,150.55124,0,0,0
644,OEH610,Berrara South,Shoalhaven,,,0,0,0,0,0,1,0,1300,60,-35.21396,150.54361,0,1,1
645,OEH612,Bangalay,Shoalhaven,,,0,0,0,0,0,1,0,200,60,-35.22312,150.53616,1,0,0
646,OEH613,Monument,Shoalhaven,,,0,0,0,0,0,1,0,500,60,-35.22891,150.53234,0,0,0
647,OEH614,Flat Rock,Shoalhaven,150927.5569,B,1,0,0,0,0,0,1,70,40,-35.23474,150.52988,0,0,0
648,OEH615,Dee,Shoalhaven,,,0,0,0,0,0,0,1,200,100,-35.23731,150.53059,0,0,0
649,OEH616,Washerwoman,Shoalhaven,,,0,0,0,0,0,0,1,900,100,-35.24219,150.53159,0,0,0
650,OEH617,Boat Harbour,Shoalhaven,,,0,0,1,0,0,0,0,380,50,-35.24507,150.5376,0,0,0
651,OEH618,Red Head / One Tree ,Shoalhaven,,,0,0,0,0,1,0,0,200,20,-35.24849,150.54092,0,0,0
652,OEH619,Bendalong / Inyadda,Shoalhaven,,,0,0,0,0,0,1,0,1300,100,-35.25204,150.5315,1,0,1
653,,Manyana,Shoalhaven,,,0,0,0,0,0,1,0,1500,80,-35.262,150.5163,1,0,1
654,OEH621,Cunjurong Point,Shoalhaven,,,0,0,0,0,0,1,0,700,120,-35.26974,150.51135,0,0,0
655,OEH622,Conjola,Shoalhaven,,,0,0,0,0,0,1,0,3100,80,-35.27905,150.49233,0,0,1
656,OEH623,Buckleys,Shoalhaven,,,0,0,0,0,0,1,0,1500,80,-35.29709,150.47636,0,0,0
657,OEH624,Narrawallee,Shoalhaven,155620.8129,B,1,0,0,0,0,1,0,1300,70,-35.31081,150.47315,1,0,1
658,OEH625,Jones,Shoalhaven,,,0,0,0,0,0,0,1,40,0,-35.32231,150.48361,0,0,0
659,OEH626,Mollymook North,Shoalhaven,249996.6199,B,1,0,1,0,0,0,0,666.6666667,30,-35.326641,150.478352,0,0,0
660,OEH627,Mollymook Mid,Shoalhaven,,,0,0,1,0,0,0,0,666.6666667,30,-35.33227,150.475122,0,0,0
661,OEH628,Mollymook,Shoalhaven,193500.6902,B,1,0,1,0,0,0,0,666.6666667,80,-35.3389,150.473576,1,1,1
662,OEH630,Golf Course Reef,Shoalhaven,,,0,0,0,0,0,1,0,300,20,-35.34336,150.47739,0,0,0
663,OEH629,Collers,Shoalhaven,,,0,0,0,0,0,1,0,100,25,-35.3461,150.47584,0,0,0
664,OEH631,Ulladulla Harbour North,Shoalhaven,,,0,0,0,0,0,0,1,250,15,-35.35375,150.47786,0,0,0
665,,Ulladulla Harbour,Shoalhaven,,,0,0,0,0,0,0,1,500,30,-35.35652,150.47492,1,0,1
666,OEH633,Ulladulla Harbour Sea Pool,Shoalhaven,,,0,0,0,0,0,0,1,300,20,-35.35924,150.47884,0,0,0
667,OEH634,Warden Head North,Shoalhaven,,,0,0,0,0,0,0,1,30,20,-35.36064,150.48425,0,0,0
668,OEH640,Warden Head South,Shoalhaven,,,0,0,0,0,0,1,0,60,20,-35.36613,150.48637,0,0,0
669,OEH635,Ulladulla / Bombie,Shoalhaven,,,0,0,0,0,0,1,0,60,180,-35.36665,150.48362,0,0,0
670,OEH637,Rennies,Shoalhaven,,,0,0,0,0,0,1,0,450,50,-35.3685,150.4789,0,0,0
671,OEH638,Racecourse,Shoalhaven,,,0,0,0,0,0,1,0,400,60,-35.37214,150.47389,0,0,0
672,OEH639,Racecourse South / Supertubes / Dolphin Point (?),Shoalhaven,,,0,0,0,0,0,1,0,1300,120,-35.38045,150.46304,0,1,1
673,,Burrill,Shoalhaven,,,0,0,0,0,0,1,0,1400,90,-35.39031,150.45215,0,1,1
674,OEH642,Wairo ,Shoalhaven,,,0,0,0,0,0,1,0,4700,90,-35.42303,150.42113,1,0,1
675,,Tabourie,Shoalhaven,,,0,0,0,0,0,1,0,2000,80,-35.4489,150.40379,1,0,1
676,OEH644,Stokes Island,Shoalhaven,,,0,0,0,0,0,1,0,250,60,-35.45611,150.40011,0,0,0
677,OEH645,Sunburnt,Shoalhaven,,,0,0,0,0,0,1,0,300,70,-35.45913,150.39615,0,0,0
678,OEH646,Termeil Lake,Shoalhaven,,,0,0,0,0,0,1,0,1500,100,-35.46817,150.3911,0,0,0
679,OEH647,Meroo,Shoalhaven,,,0,0,0,0,0,1,0,800,80,-35.48545,150.3903,0,0,0
680,OEH648,Nuggan Point,Shoalhaven,,,0,0,0,0,0,1,0,50,20,-35.49143,150.38995,0,0,0
681,OEH649,North,Shoalhaven,,,0,0,1,0,0,0,0,600,80,-35.49811,150.39066,1,0,1
682,OEH650,Bawley ,Shoalhaven,,,0,0,0,0,0,1,0,300,100,-35.50483,150.39242,0,0,1
683,OEH651,Cormorant,Shoalhaven,,,0,0,0,0,0,1,0,300,80,-35.50985,150.39774,1,0,0
